,LINK,sector,company_code,company_name
52,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/bankofbaroda/BOB,bankspublicsector,BOB,bankofbaroda
53,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/bankofindia/BOI,bankspublicsector,BOI,bankofindia
54,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/bankmaharashtra/BM05,bankspublicsector,BM05,bankmaharashtra
55,http://www.moneycontrol.com/india/stockpricequote/chemicals/basfindia/BAS,chemicals,BAS,basfindia
56,http://www.moneycontrol.com/india/stockpricequote/leatherproducts/bataindia/BI01,leatherproducts,BI01,bataindia
57,http://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/bayercropscience/BC12,pesticidesagrochemicals,BC12,bayercropscience
58,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/beml/BEM03,infrastructuregeneral,BEM03,beml
59,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/bergerpaintsindia/BPI02,paintsvarnishes,BPI02,bergerpaintsindia
60,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/bfutilities/BFU,powergenerationdistribution,BFU,bfutilities
61,http://www.moneycontrol.com/india/stockpricequote/electricals/bharatelectronics/BE03,electricals,BE03,bharatelectronics
62,http://www.moneycontrol.com/india/stockpricequote/financegeneral/bharatfinancialinclusion/SM11,financegeneral,SM11,bharatfinancialinclusion
63,http://www.moneycontrol.com/india/stockpricequote/castingsforgings/bharatforge/BF03,castingsforgings,BF03,bharatforge
64,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/bhartiairtel/BA08,telecommunicationsservice,BA08,bhartiairtel
65,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/bhartiinfratel/BI14,telecommunicationsequipment,BI14,bhartiinfratel
66,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/bharatheavyelectricals/BHE,infrastructuregeneral,BHE,bharatheavyelectricals
67,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/biocon/BL03,pharmaceuticals,BL03,biocon
68,http://www.moneycontrol.com/india/stockpricequote/cementmajor/birlacorporation/BC07,cementmajor,BC07,birlacorporation
69,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/blissgvspharma/BGV,pharmaceuticals,BGV,blissgvspharma
70,http://www.moneycontrol.com/india/stockpricequote/couriers/bluedartexpress/BDE,couriers,BDE,bluedartexpress
71,http://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/bluestar/BS,consumergoodswhitegoods,BS,bluestar
72,http://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/bombayburmahtradingcorporation/BBT,plantationsteacoffee,BBT,bombayburmahtradingcorporation
73,http://www.moneycontrol.com/india/stockpricequote/textilesprocessing/bombaydyeingmanufacturingcompany/BDM,textilesprocessing,BDM,bombaydyeingmanufacturingcompany
74,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/bosch/B05,autoancillaries,B05,bosch
75,http://www.moneycontrol.com/india/stockpricequote/refineries/bharatpetroleumcorporation/BPC,refineries,BPC,bharatpetroleumcorporation
76,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/britanniaindustries/BI,foodprocessing,BI,britanniaindustries
77,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cadilahealthcare/CHC,pharmaceuticals,CHC,cadilahealthcare
78,http://www.moneycontrol.com/india/stockpricequote/financehousing/canfinhomes/CFH,financehousing,CFH,canfinhomes
79,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/canarabank/CB06,bankspublicsector,CB06,canarabank
80,http://www.moneycontrol.com/india/stockpricequote/financegeneral/capitalfirst/FCH,financegeneral,FCH,capitalfirst
81,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/caplinpointlaboratories/CPL,pharmaceuticals,CPL,caplinpointlaboratories
82,http://www.moneycontrol.com/india/stockpricequote/abrasives/carborundumuniversal/CU,abrasives,CU,carborundumuniversal
83,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/creditanalysisresearch/CAR,miscellaneous,CAR,creditanalysisresearch
84,http://www.moneycontrol.com/india/stockpricequote/lubricants/castrolindia/CI01,lubricants,CI01,castrolindia
85,http://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/cclproductsindia/CC10,plantationsteacoffee,CC10,cclproductsindia
86,http://www.moneycontrol.com/india/stockpricequote/tyres/ceat/C07,tyres,C07,ceat
87,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/centralbankindia/CBO01,bankspublicsector,CBO01,centralbankindia
88,http://www.moneycontrol.com/india/stockpricequote/diversified/centurytextilesindustries/CTI,diversified,CTI,centurytextilesindustries
89,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/centuryplyboards/CP9,miscellaneous,CP9,centuryplyboards
90,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/cerasanitaryware/CS18,ceramicsgranite,CS18,cerasanitaryware
91,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/cesc/CES,powergenerationdistribution,CES,cesc
92,http://www.moneycontrol.com/india/stockpricequote/electricals/cromptongreavesconsumerelectrical/CGC01,electricals,CGC01,cromptongreavesconsumerelectrical
