,LINK,MARKETCAP_RS_CR,P_BY_E,BOOK_VALUE_RS,DIV_PERCENT,MARKET_LOT,INDUSTRY_P_BY_E,EPS_TTM,P_BY_C,PRICE_BY_BOOK,DIV_YIELD_PERCENT,FACE_VALUE,sector,company_code,company_name,count_comp_cat,rk
328,http://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/tatacoffee/TC14,2102.1,33.5,49.27,150.0,1,31.24,3.36,24.68,2.28,1.33,1.0,plantationsteacoffee,TC14,tatacoffee,4,3.0
331,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/hsil/HSI02,2436.03,32.59,210.91,200.0,1,23.33,10.34,12.91,1.6,1.19,2.0,ceramicsgranite,HSI02,hsil,4,3.0
333,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/somanyceramics/SC49,2105.2,32.34,134.72,135.0,1,23.33,15.36,22.85,3.69,0.54,2.0,ceramicsgranite,SC49,somanyceramics,4,4.0
337,http://www.moneycontrol.com/india/stockpricequote/fertilisers/gujaratnarmadavalleyfertilizerschemicals/GNV,6236.18,7.9,295.4,50.0,1,13.56,50.8,5.88,1.36,1.25,10.0,fertilisers,GNV,gujaratnarmadavalleyfertilizerschemicals,6,3.0
338,http://www.moneycontrol.com/india/stockpricequote/fertilisers/gujaratstatefertilizerschemicals/GSF,4182.02,8.79,176.95,110.0,1,13.56,11.94,7.03,0.59,2.1,2.0,fertilisers,GSF,gujaratstatefertilizerschemicals,6,4.0
342,http://www.moneycontrol.com/india/stockpricequote/miningminerals/moil/M18,4625.61,10.96,105.32,110.0,1,14.25,15.84,9.55,1.65,6.33,10.0,miningminerals,M18,moil,5,4.0
343,http://www.moneycontrol.com/india/stockpricequote/miningminerals/nmdc/NMD02,34170.02,8.98,83.2,515.0,1,14.25,12.03,8.41,1.3,4.77,1.0,miningminerals,NMD02,nmdc,5,3.0
354,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/pvr/PVR,6391.03,52.63,229.87,20.0,1,33.06,25.98,24.34,5.95,0.15,10.0,mediaentertainment,PVR,pvr,11,4.0
357,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/tv18broadcast/IBN,9000.39,93.75,22.13,0.0,1,33.06,0.56,78.36,2.37,,2.0,mediaentertainment,IBN,tv18broadcast,11,3.0
361,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/godrejproperties/GP11,16461.8,78.28,95.58,0.0,1,28.23,9.17,73.18,7.51,,5.0,constructioncontractingrealestate,GP11,godrejproperties,11,3.0
365,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/phoenixmills/PM02,10185.56,65.77,158.76,120.0,1,28.23,10.11,52.19,4.19,0.36,2.0,constructioncontractingrealestate,PM02,phoenixmills,11,4.0
370,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/eclerxservices/eS06,5027.19,18.08,356.28,10.0,1,21.87,72.0,16.34,3.65,0.08,10.0,computerssoftwaremediumsmall,eS06,eclerxservices,7,4.0
372,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/kpittechnologies/KPI02,5361.1,30.19,78.67,110.0,1,22.18,8.99,21.44,3.45,0.81,2.0,computerssoftwaremediumsmall,KPI02,kpittechnologies,7,3.0
379,http://www.moneycontrol.com/india/stockpricequote/hotels/mahindraholidaysresortsindia/MHR,3919.38,29.18,50.58,50.0,1,65.7,10.06,20.72,5.8,1.7,10.0,hotels,MHR,mahindraholidaysresortsindia,4,4.0
380,http://www.moneycontrol.com/india/stockpricequote/hotels/westlifedevelopment/DIC,5328.1,3113.18,30.79,0.0,1,65.7,0.11,3113.18,11.12,,2.0,hotels,DIC,westlifedevelopment,4,3.0
391,http://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/gepowerindia/AP29,5318.7,200.29,127.48,30.0,1,13.5,3.95,68.74,6.21,0.38,10.0,powertransmissionequipment,AP29,gepowerindia,4,4.0
393,http://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/kalpatarupowertransmission/KPT,6143.79,19.08,182.48,100.0,1,13.5,20.98,15.42,2.19,0.5,2.0,powertransmissionequipment,KPT,kalpatarupowertransmission,4,3.0
406,http://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/idfc/IDF,7391.12,49.78,61.38,0.0,1,5.28,0.93,48.23,0.75,,10.0,financetermlendinginstitutions,IDF,idfc,4,3.0
408,http://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/ptcindiafinancialservices/PIF02,1040.5,42.63,38.05,15.0,1,34.92,0.38,36.82,0.43,9.26,10.0,financetermlendinginstitutions,PIF02,ptcindiafinancialservices,4,4.0
