,LINK,MARKET CAP (Rs Cr),P/E,BOOK VALUE (Rs),DIV (%),Market Lot,INDUSTRY P/E,EPS (TTM),P/C,PRICE/BOOK,DIV YIELD.(%),FACE VALUE (Rs),sector,company_code,company_name
0,http://www.moneycontrol.com/india/stockpricequote/diversified/3mindia/MI42,"22,112.99",71.21,1364.33,0.00%,1,21.24,275.66,62.76,14.39,-%,10.00,diversified,MI42,3mindia
1,http://www.moneycontrol.com/india/stockpricequote/cementmajor/acc/ACC06,"25,131.57",26.48,498.72,260.00%,1,35.64,50.54,15.81,2.68,1.94%,10.00,cementmajor,ACC06,acc
2,http://www.moneycontrol.com/india/stockpricequote/trading/adanienterprises/AE13,"12,416.86",63.07,36.04,40.00%,1,43.05,1.79,43.59,3.13,0.35%,1.00,trading,AE13,adanienterprises
3,http://www.moneycontrol.com/india/stockpricequote/retail/adityabirlafashionretail/PFR,"10,680.64",90.46,12.43,0.00%,1,68.90,1.53,26.77,11.13,-%,10.00,retail,PFR,adityabirlafashionretail
4,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/advancedenzymetechnologies/AET,"2,413.85",67.35,26.06,20.00%,1,24.28,3.21,55.29,8.30,0.19%,2.00,pharmaceuticals,AET,advancedenzymetechnologies
5,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/allcargologistics/AGL02,"2,592.09",90.17,55.81,100.00%,1,40.69,1.17,19.87,1.89,1.90%,2.00,transportlogistics,AGL02,allcargologistics
6,http://www.moneycontrol.com/india/stockpricequote/cementmajor/ambujacements/AC18,"41,192.21",32.31,100.59,180.00%,1,35.64,6.42,22.28,2.06,1.74%,2.00,cementmajor,AC18,ambujacements
7,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/astramicrowaveproducts/AMP01,851.39,14.02,59.44,50.00%,1,27.31,7.01,9.70,1.65,1.02%,2.00,telecommunicationsequipment,AMP01,astramicrowaveproducts
8,http://www.moneycontrol.com/india/stockpricequote/plastics/astralpolytechnik/APT02,"12,085.31",101.50,69.71,50.00%,1,84.99,9.94,72.95,14.47,0.05%,1.00,plastics,APT02,astralpolytechnik
9,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/axisbank/AB16,"131,067.69",477.01,217.28,0.00%,1,32.65,1.07,155.14,2.35,-%,2.00,banksprivatesector,AB16,axisbank
10,http://www.moneycontrol.com/india/stockpricequote/diversified/balmerlawriecompany/BLC,"2,403.74",13.01,118.49,70.00%,1,21.24,16.21,11.37,1.78,3.32%,10.00,diversified,BLC,balmerlawriecompany
11,http://www.moneycontrol.com/india/stockpricequote/financegeneral/bharatfinancialinclusion/SM11,"16,104.38",35.36,175.59,0.00%,1,34.92,32.67,34.36,6.58,-%,10.00,financegeneral,SM11,bharatfinancialinclusion
12,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/bharatheavyelectricals/BHE,"26,342.30",32.61,87.96,79.00%,1,21.24,2.20,16.53,0.82,2.20%,2.00,infrastructuregeneral,BHE,bharatheavyelectricals
