,LINK,company_code,company_category,company_name,BOOK VALUE (Rs),DIV (%),DIV YIELD.(%),EPS (TTM),FACE VALUE (Rs),INDUSTRY P/E,MARKET CAP (Rs Cr),Market Lot,P/C,P/E,PRICE/BOOK,sector
25,http://www.moneycontrol.com/india/stockpricequote/steeltubespipes/aplapollotubes/BT09,BT09,steeltubespipes,aplapollotubes,213.34,120.00%,0.67%,44.32,10.00,19.46,"4,268.99",1,28.62,40.59,8.43,STEEL - TUBES & PIPES
26,http://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/apollohospitalsenterprises/AHE,AHE,hospitalsmedicalservices,apollohospitalsenterprises,274.01,120.00%,0.58%,16.76,5.00,48.56,"14,327.80",1,28.36,61.45,3.76,HOSPITALS & MEDICAL SERVICES
27,http://www.moneycontrol.com/india/stockpricequote/tyres/apollotyres/AT14,AT14,tyres,apollotyres,104.18,300.00%,1.11%,10.88,1.00,27.04,"15,405.31",1,15.61,24.75,2.58,TYRES
28,http://www.moneycontrol.com/india/stockpricequote/textilesdenim/arvind/A18,A18,textilesdenim,arvind,135.03,24.00%,0.58%,9.43,10.00,36.23,"10,717.09",1,23.68,43.94,3.07,TEXTILES - DENIM
29,http://www.moneycontrol.com/india/stockpricequote/glassglassproducts/asahiindiaglass/AIG01,AIG01,glassglassproducts,asahiindiaglass,28.21,100.00%,0.29%,7.62,1.00,41.97,"8,333.12",1,30.07,44.99,12.15,GLASS & GLASS PRODUCTS
30,http://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/ashokleyland/AL,AL,autolcvshcvs,ashokleyland,26.23,156.00%,1.10%,5.32,1.00,37.26,"41,737.51",1,19.72,26.73,5.42,AUTO - LCVS & HCVS
31,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/ashokabuildcon/AB,AB,constructioncontractingcivil,ashokabuildcon,112.28,32.00%,0.68%,13.47,5.00,30.60,"4,420.45",1,14.48,17.54,2.10,CONSTRUCTION & CONTRACTING - CIVIL
32,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/asianpaints/AP31,AP31,paintsvarnishes,asianpaints,81.30,870.00%,0.68%,19.76,1.00,57.09,"122,878.03",1,55.70,64.83,15.76,PAINTS & VARNISHES
33,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/astramicrowaveproducts/AMP01,AMP01,telecommunicationsequipment,astramicrowaveproducts,59.44,50.00%,0.99%,7.01,2.00,29.78,871.75,1,9.94,14.36,1.69,TELECOMMUNICATIONS - EQUIPMENT
34,http://www.moneycontrol.com/india/stockpricequote/plastics/astralpolytechnik/APT02,APT02,plastics,astralpolytechnik,69.71,50.00%,0.05%,9.94,1.00,85.68,"12,175.15",1,73.49,102.25,14.58,PLASTICS
35,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/astrazenecapharma/AZP,AZP,pharmaceuticals,astrazenecapharma,82.55,0.00%,-%,10.42,2.00,29.05,"3,268.00",1,80.10,125.45,15.84,PHARMACEUTICALS
36,http://www.moneycontrol.com/india/stockpricequote/dyespigments/atul/A06,A06,dyespigments,atul,738.73,100.00%,0.37%,91.16,10.00,22.45,"8,040.70",1,21.43,29.74,3.67,DYES & PIGMENTS
37,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aurobindopharma/AP,AP,pharmaceuticals,aurobindopharma,174.92,250.00%,0.41%,30.94,1.00,29.05,"35,942.50",1,16.58,19.83,3.51,PHARMACEUTICALS
38,http://www.moneycontrol.com/india/stockpricequote/aquaculture/avantifeeds/AF21,AF21,aquaculture,avantifeeds,217.40,450.00%,0.49%,91.37,2.00,19.94,"8,362.53",1,19.46,20.15,8.47,AQUACULTURE
39,http://www.moneycontrol.com/india/stockpricequote/retail/avenuesupermarts/AS19,AS19,retail,avenuesupermarts,74.06,0.00%,-%,12.57,10.00,151.28,"95,990.43",1,102.20,122.36,20.77,RETAIL
40,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/axisbank/AB16,AB16,banksprivatesector,axisbank,217.29,0.00%,-%,1.07,2.00,32.64,"135,585.38",1,160.49,493.46,2.43,BANKS - PRIVATE SECTOR
41,http://www.moneycontrol.com/india/stockpricequote/auto23wheelers/bajajauto/BA10,BA10,auto23wheelers,bajajauto,729.25,550.00%,1.91%,140.59,10.00,22.15,"83,156.85",1,18.97,20.44,3.94,AUTO - 2 & 3 WHEELERS
42,http://www.moneycontrol.com/india/stockpricequote/personalcare/bajajcorp/BC02,BC02,personalcare,bajajcorp,48.68,1150.00%,2.70%,14.66,1.00,66.23,"6,274.65",1,28.12,29.02,8.74,PERSONAL CARE
