,LINK,company_code,company_category,company_name,BOOK_VALUE_RS,DIV_PERCENT,DIV_YIELD_PERCENT,EPS_TTM,FACE_VALUE,INDUSTRY_P_BY_E,MARKETCAP_RS_CR,MARKET_LOT,P_BY_C,P_BY_E,PRICE_BY_BOOK,sector
130,http://www.moneycontrol.com/india/stockpricequote/compressors/elgiequipments/EE01,EE01,compressors,elgiequipments,38.98,100.0,0.37,4.85,1.0,32.28,4227.57,1,37.31,55.01,6.84,COMPRESSORS
131,http://www.moneycontrol.com/india/stockpricequote/personalcare/emami/E06,E06,personalcare,emami,89.09,700.0,0.63,13.64,1.0,66.23,25071.98,1,40.78,80.99,12.4,PERSONAL CARE
132,http://www.moneycontrol.com/india/stockpricequote/auto23wheelers/endurancetechnologies/ET01,ET01,auto23wheelers,endurancetechnologies,130.43,25.0,0.2,19.31,10.0,39.04,17876.14,1,40.51,65.81,9.74,AUTO - 2 & 3 WHEELERS
133,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/engineersindia/EI14,EI14,infrastructuregeneral,engineersindia,49.58,60.0,2.31,5.98,5.0,29.04,8221.17,1,20.46,21.76,2.62,INFRASTRUCTURE - GENERAL
134,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/entertainmentnetworkindia/ENI,ENI,mediaentertainment,entertainmentnetworkindia,186.66,10.0,0.15,7.38,10.0,35.36,3176.99,1,32.21,90.3,3.57,MEDIA & ENTERTAINMENT
135,http://www.moneycontrol.com/india/stockpricequote/financegeneral/equitasholdings/EH03,EH03,financegeneral,equitasholdings,49.41,0.0,,0.16,10.0,36.62,5145.75,1,839.17,944.06,3.06,FINANCE - GENERAL
136,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/erosinternationalmedia/EIM,EIM,mediaentertainment,erosinternationalmedia,142.12,0.0,,8.1,10.0,35.36,1258.74,1,15.14,16.34,0.93,MEDIA & ENTERTAINMENT
137,http://www.moneycontrol.com/india/stockpricequote/autotractors/escorts/E,E,autotractors,escorts,190.56,15.0,0.16,28.12,10.0,29.77,11228.65,1,26.91,32.58,4.81,AUTO - TRACTORS
138,http://www.moneycontrol.com/india/stockpricequote/packaging/esselpropack/EP11,EP11,packaging,esselpropack,41.65,120.0,0.97,5.16,2.0,24.28,3909.11,1,26.1,48.2,5.97,PACKAGING
139,http://www.moneycontrol.com/india/stockpricequote/drycells/evereadyindustriesindia/EII02,EII02,drycells,evereadyindustriesindia,47.36,20.0,0.4,7.53,5.0,20.97,1815.73,1,24.54,33.17,5.27,DRY CELLS
140,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/exideindustries/EI,EI,autoancillaries,exideindustries,66.26,240.0,0.96,7.86,1.0,30.46,21309.5,1,23.3,31.9,3.78,AUTO ANCILLARIES
141,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/fdc/FDC,FDC,pharmaceuticals,fdc,82.09,225.0,0.89,9.65,1.0,29.05,4400.19,1,21.64,26.15,3.07,PHARMACEUTICALS
142,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/federalbank/FB,FB,banksprivatesector,federalbank,45.47,45.0,1.07,4.44,2.0,32.64,16602.16,1,18.91,18.91,1.85,BANKS - PRIVATE SECTOR
143,http://www.moneycontrol.com/india/stockpricequote/cablestelephone/finolexcables/FC01,FC01,cablestelephone,finolexcables,146.18,150.0,0.45,23.42,2.0,31.64,10287.47,1,25.6,28.72,4.6,CABLES - TELEPHONE
144,http://www.moneycontrol.com/india/stockpricequote/petrochemicals/finolexindustries/FI,FI,petrochemicals,finolexindustries,208.71,115.0,1.93,24.06,10.0,26.73,7377.47,1,20.54,24.71,2.85,PETROCHEMICALS
145,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/firstsourcesolutions/FS07,FS07,computerssoftwaremediumsmall,firstsourcesolutions,29.16,0.0,,2.79,10.0,23.52,5658.78,1,26.52,29.46,2.82,COMPUTERS - SOFTWARE MEDIUM & SMALL
146,http://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/forcemotors/FM01,FM01,autolcvshcvs,forcemotors,1375.47,100.0,0.37,111.53,10.0,37.26,3599.1,1,13.03,24.49,1.99,AUTO - LCVS & HCVS
148,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/futureconsumer/FVI,FVI,foodprocessing,futureconsumer,6.78,0.0,,0.17,6.0,39.36,10295.35,1,179.33,316.47,7.94,FOOD PROCESSING
149,http://www.moneycontrol.com/india/stockpricequote/retail/futurelifestylefashions/FLF01,FLF01,retail,futurelifestylefashions,93.56,40.0,0.19,5.8,2.0,74.38,8220.85,1,31.64,74.34,4.61,RETAIL
150,http://www.moneycontrol.com/india/stockpricequote/retail/futureretail/FR,FR,retail,futureretail,51.17,0.0,,0.41,2.0,151.28,27939.22,1,378.23,1356.1,10.87,RETAIL
151,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gailindia/GAI,GAI,oildrillingandexploration,gailindia,169.17,112.0,3.34,20.48,10.0,11.73,75544.88,1,12.52,16.36,1.98,OIL DRILLING AND EXPLORATION
152,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/gatewaydistriparks/GD01,GD01,miscellaneous,gatewaydistriparks,74.05,70.0,3.93,3.5,10.0,39.36,1936.45,1,31.08,50.89,2.41,MISCELLANEOUS
153,http://www.moneycontrol.com/india/stockpricequote/couriers/gati/G04,G04,couriers,gati,58.33,40.0,0.89,3.18,2.0,52.73,971.76,1,24.68,28.18,1.54,COURIERS
154,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/gayatriprojects/GP10,GP10,constructioncontractingcivil,gayatriprojects,49.74,0.0,,10.05,2.0,30.6,3280.66,1,13.51,17.44,3.52,CONSTRUCTION & CONTRACTING - CIVIL
155,http://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/gepowerindia/AP29,AP29,powertransmissionequipment,gepowerindia,127.48,30.0,0.36,3.95,10.0,14.41,5581.22,1,72.13,210.18,6.51,POWER - TRANSMISSION & EQUIPMENT
156,http://www.moneycontrol.com/india/stockpricequote/shipping/greateasternshippingcompany/GES,GES,shipping,greateasternshippingcompany,352.99,101.0,3.18,10.62,10.0,18.22,4794.71,1,7.36,29.94,0.9,SHIPPING
157,http://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/getdindia/ATD,ATD,powertransmissionequipment,getdindia,48.49,90.0,0.58,8.15,2.0,14.41,7908.0,1,26.49,37.9,6.37,POWER - TRANSMISSION & EQUIPMENT
158,http://www.moneycontrol.com/india/stockpricequote/financehousing/gichousingfinance/GIC,GIC,financehousing,gichousingfinance,189.9,50.0,1.3,34.25,10.0,23.49,2072.19,1,11.2,11.24,2.03,FINANCE - HOUSING
159,http://www.moneycontrol.com/india/stockpricequote/personalcare/gilletteindia/GI22,GI22,personalcare,gilletteindia,153.63,1640.0,2.51,71.23,10.0,66.23,21283.03,1,78.69,91.7,42.51,PERSONAL CARE
160,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/glaxosmithklineconsumerhealthcare/GSC04,GSC04,foodprocessing,glaxosmithklineconsumerhealthcare,908.98,700.0,1.13,166.47,10.0,64.74,25968.45,1,33.97,37.09,6.79,FOOD PROCESSING
161,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glaxosmithklinepharmaceuticals/GSK,GSK,pharmaceuticals,glaxosmithklinepharmaceuticals,281.0,300.0,1.09,41.55,10.0,29.05,23247.59,1,59.61,66.06,9.77,PHARMACEUTICALS
162,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glenmarkpharma/GP08,GP08,pharmaceuticals,glenmarkpharma,370.38,200.0,0.34,35.95,1.0,29.05,16533.64,1,14.6,16.3,1.58,PHARMACEUTICALS
164,http://www.moneycontrol.com/india/stockpricequote/fertilisers/gujaratnarmadavalleyfertilizerschemicals/GNV,GNV,fertilisers,gujaratnarmadavalleyfertilizerschemicals,295.4,50.0,1.07,50.8,10.0,14.8,7281.37,1,6.87,9.22,1.59,FERTILISERS
165,http://www.moneycontrol.com/india/stockpricequote/cigarettes/godfreyphillipsindia/GPI,GPI,cigarettes,godfreyphillipsindia,337.08,400.0,1.09,30.92,2.0,28.93,3820.25,1,14.9,23.76,2.18,CIGARETTES
166,http://www.moneycontrol.com/india/stockpricequote/personalcare/godrejconsumerproducts/GCP,GCP,personalcare,godrejconsumerproducts,64.55,1500.0,1.29,14.68,1.0,66.23,79245.44,1,74.56,79.23,18.02,PERSONAL CARE
167,http://www.moneycontrol.com/india/stockpricequote/personalcare/godrejindustries/GI23,GI23,personalcare,godrejindustries,55.22,175.0,0.28,7.18,1.0,66.23,20687.43,1,66.7,85.65,11.14,PERSONAL CARE
168,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/godrejproperties/GP11,GP11,constructioncontractingrealestate,godrejproperties,95.58,0.0,,9.17,5.0,30.6,17532.73,1,77.94,83.38,8.0,CONSTRUCTION & CONTRACTING - REAL ESTATE
169,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/granulesindia/GI25,GI25,pharmaceuticals,granulesindia,40.42,25.0,0.28,5.48,1.0,29.05,2260.42,1,10.51,16.25,2.2,PHARMACEUTICALS
170,http://www.moneycontrol.com/india/stockpricequote/diversified/grasimindustries/GI01,GI01,diversified,grasimindustries,247.47,275.0,0.53,26.9,2.0,22.07,67808.36,1,28.3,38.34,4.17,DIVERSIFIED
171,http://www.moneycontrol.com/india/stockpricequote/engines/greavescotton/GC20,GC20,engines,greavescotton,46.01,275.0,4.13,8.3,2.0,25.13,3251.61,1,12.75,16.04,2.89,ENGINES
172,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/greenplyindustries/GI19,GI19,miscellaneous,greenplyindustries,75.25,60.0,0.24,11.07,1.0,28.52,3054.65,1,16.92,22.5,3.31,MISCELLANEOUS
173,http://www.moneycontrol.com/india/stockpricequote/abrasives/grindwellnorton/GN,GN,abrasives,grindwellnorton,93.18,80.0,0.76,13.29,5.0,41.14,5811.14,1,30.69,39.49,5.63,ABRASIVES
174,http://www.moneycontrol.com/india/stockpricequote/financehousing/gruhfinance/GRU,GRU,financehousing,gruhfinance,18.88,165.0,1.02,4.96,2.0,23.49,23592.6,1,64.51,65.03,17.08,FINANCE - HOUSING
175,http://www.moneycontrol.com/india/stockpricequote/fertilisers/gujaratstatefertilizerschemicals/GSF,GSF,fertilisers,gujaratstatefertilizerschemicals,176.95,110.0,1.93,11.94,2.0,14.8,4542.64,1,7.64,9.55,0.64,FERTILISERS
176,http://www.moneycontrol.com/india/stockpricequote/chemicals/gujaratalkalieschemicals/GAC01,GAC01,chemicals,gujaratalkalieschemicals,529.95,50.0,0.84,72.85,10.0,9.86,4391.53,1,6.63,8.21,1.13,CHEMICALS
177,http://www.moneycontrol.com/india/stockpricequote/chemicals/gujaratfluorochemicals/GF07,GF07,chemicals,gujaratfluorochemicals,320.78,350.0,0.47,44.36,1.0,24.63,8232.71,1,12.87,16.89,2.34,CHEMICALS
178,http://www.moneycontrol.com/india/stockpricequote/chemicals/gujaratheavychemicals/GHC,GHC,chemicals,gujaratheavychemicals,166.48,50.0,1.83,37.41,10.0,9.86,2659.17,1,5.61,7.3,1.64,CHEMICALS
179,http://www.moneycontrol.com/india/stockpricequote/miningminerals/gujaratmineraldevelopmentcorporation/GMD,GMD,miningminerals,gujaratmineraldevelopmentcorporation,138.68,150.0,2.4,13.67,2.0,15.1,3973.41,1,7.27,9.14,0.9,MINING & MINERALS
180,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gujaratstatepetronet/GSP02,GSP02,oildrillingandexploration,gujaratstatepetronet,91.6,15.0,0.8,11.86,10.0,15.5,10557.78,1,12.52,15.79,2.04,OIL DRILLING AND EXPLORATION
181,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gujaratgas/GGC,GGC,oildrillingandexploration,gujaratgas,140.64,30.0,0.37,21.16,10.0,26.07,11308.87,1,20.08,38.82,5.84,OIL DRILLING AND EXPLORATION
182,http://www.moneycontrol.com/india/stockpricequote/shipping/gujaratpipavavport/GPP03,GPP03,shipping,gujaratpipavavport,45.88,38.0,3.28,4.11,10.0,20.06,5598.23,1,18.53,28.18,2.52,SHIPPING
183,http://www.moneycontrol.com/india/stockpricequote/lubricants/gulfoillubricantsindia/GOL01,GOL01,lubricants,gulfoillubricantsindia,103.07,425.0,0.98,31.9,2.0,26.3,4297.3,1,25.43,27.11,8.39,LUBRICANTS
184,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/hathwaycabledatacom/HCD,HCD,mediaentertainment,hathwaycabledatacom,12.71,0.0,,0.94,2.0,35.36,2420.89,1,13.82,31.01,2.29,MEDIA & ENTERTAINMENT
185,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/hatsunagroproducts/HAP,HAP,foodprocessing,hatsunagroproducts,59.73,400.0,0.57,5.62,1.0,64.74,11383.0,1,43.03,125.28,11.79,FOOD PROCESSING
186,http://www.moneycontrol.com/india/stockpricequote/electricequipment/havellsindia/HI01,HI01,electricequipment,havellsindia,63.73,350.0,0.63,11.39,1.0,47.97,34691.85,1,40.72,48.7,8.7,ELECTRIC EQUIPMENT
188,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/hcltechnologies/HCL02,HCL02,computerssoftware,hcltechnologies,186.49,600.0,1.27,52.87,2.0,21.82,131914.73,1,15.98,17.92,5.08,COMPUTERS - SOFTWARE
189,http://www.moneycontrol.com/india/stockpricequote/financehousing/housingdevelopmentfinancecorporation/HDF,HDF,financehousing,housingdevelopmentfinancecorporation,235.77,900.0,0.98,72.45,2.0,23.49,307783.45,1,25.18,25.28,7.77,FINANCE - HOUSING
190,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/hdfcbank/HDF01,HDF01,banksprivatesector,hdfcbank,408.32,650.0,0.64,67.17,2.0,32.64,528652.06,1,28.74,30.23,4.97,BANKS - PRIVATE SECTOR
191,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/housingdevelopmentinfrastructure/HDI,HDI,constructioncontractingrealestate,housingdevelopmentinfrastructure,263.04,0.0,,2.2,10.0,30.6,993.87,1,9.74,10.41,0.09,CONSTRUCTION & CONTRACTING - REAL ESTATE
192,http://www.moneycontrol.com/india/stockpricequote/cementmajor/heidelbergcementindia/HCI02,HCI02,cementmajor,heidelbergcementindia,48.55,0.0,,5.88,10.0,36.29,3093.27,1,13.2,23.21,2.81,CEMENT - MAJOR
193,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/heritagefoods/HFI,HFI,foodprocessing,heritagefoods,78.42,40.0,0.29,11.22,5.0,64.74,3210.51,1,36.06,61.67,8.82,FOOD PROCESSING
194,http://www.moneycontrol.com/india/stockpricequote/auto23wheelers/heromotocorp/HHM,HHM,auto23wheelers,heromotocorp,691.43,4250.0,2.3,185.14,2.0,22.15,73676.55,1,17.32,19.93,5.34,AUTO - 2 & 3 WHEELERS
195,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/hexawaretechnologies/HT02,HT02,computerssoftware,hexawaretechnologies,51.93,200.0,0.9,13.92,2.0,21.82,13223.01,1,28.59,32.0,8.58,COMPUTERS - SOFTWARE
196,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/himachalfuturisticcommunication/HFC,HFC,telecommunicationsequipment,himachalfuturisticcommunication,9.67,0.0,,1.25,1.0,37.77,4120.93,1,24.09,26.6,3.44,TELECOMMUNICATIONS - EQUIPMENT
197,http://www.moneycontrol.com/india/stockpricequote/textilessyntheticsilk/himatsingkaseide/HS,HS,textilessyntheticsilk,himatsingkaseide,129.27,50.0,0.75,20.93,5.0,13.5,3299.79,1,12.63,16.01,2.59,TEXTILES - SYNTHETIC & SILK
198,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/hindustanconstructioncompany/HCC,HCC,constructioncontractingcivil,hindustanconstructioncompany,27.26,0.0,,0.76,1.0,30.6,1476.48,1,7.38,19.13,0.53,CONSTRUCTION & CONTRACTING - CIVIL
199,http://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/hindustancopper/HC07,HC07,metalsnonferrous,hindustancopper,16.72,0.0,,0.86,5.0,22.18,6615.31,1,27.08,83.14,4.28,METALS - NON FERROUS
200,http://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/hindustanzinc/HZ,HZ,metalsnonferrous,hindustanzinc,94.86,1470.0,9.66,21.67,2.0,13.77,128639.84,1,12.09,14.05,3.21,METALS - NON FERROUS
201,http://www.moneycontrol.com/india/stockpricequote/aluminium/hindalcoindustries/HI,HI,aluminium,hindalcoindustries,210.84,110.0,0.46,6.4,1.0,24.7,53308.76,1,17.46,37.1,1.13,ALUMINIUM
202,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/honeywellautomation/HA04,HA04,telecommunicationsequipment,honeywellautomation,1617.38,100.0,0.05,282.45,10.0,37.67,16210.67,1,61.19,64.91,11.34,TELECOMMUNICATIONS - EQUIPMENT
203,http://www.moneycontrol.com/india/stockpricequote/refineries/hindustanpetroleumcorporation/HPC,HPC,refineries,hindustanpetroleumcorporation,120.46,300.0,9.8,41.72,10.0,8.41,46659.45,1,5.12,7.34,2.54,REFINERIES
204,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/hsil/HSI02,HSI02,ceramicsgranite,hsil,210.91,200.0,1.17,10.34,2.0,25.51,2478.68,1,13.13,33.16,1.63,CERAMICS & GRANITE
205,http://www.moneycontrol.com/india/stockpricequote/personalcare/hindustanunilever/HU,HU,personalcare,hindustanunilever,32.69,2000.0,1.23,24.19,1.0,66.23,350929.0,1,61.41,67.02,49.59,PERSONAL CARE
206,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/icicibank/ICI02,ICI02,banksprivatesector,icicibank,150.7,125.0,0.89,10.54,2.0,32.64,181540.06,1,26.78,26.78,1.87,BANKS - PRIVATE SECTOR
207,http://www.moneycontrol.com/india/stockpricequote/financegeneral/iciciprudentiallifeinsurancecompany/IPL01,IPL01,financegeneral,iciciprudentiallifeinsurancecompany,47.81,78.0,1.95,11.28,10.0,57.66,57501.16,1,35.51,35.51,8.38,FINANCE - GENERAL
208,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/icra/ICR,ICR,miscellaneous,icra,559.34,270.0,0.81,101.3,10.0,51.31,3287.89,1,31.93,32.77,5.94,MISCELLANEOUS
211,http://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/idfc/IDF,IDF,financetermlendinginstitutions,idfc,61.38,0.0,,0.93,10.0,5.8,7957.83,1,51.93,53.6,0.81,FINANCE - TERM LENDING INSTITUTIONS
212,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/idfcbank/IDF01,IDF01,banksprivatesector,idfcbank,45.65,7.5,1.73,2.52,10.0,32.64,14722.76,1,14.42,17.16,0.95,BANKS - PRIVATE SECTOR
214,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/indraprasthagas/IG04,IG04,oildrillingandexploration,indraprasthagas,51.39,85.0,0.65,9.58,2.0,32.84,18413.52,1,21.61,27.46,5.12,OIL DRILLING AND EXPLORATION
215,http://www.moneycontrol.com/india/stockpricequote/financegeneral/iiflholdings/II15,II15,financegeneral,iiflholdings,47.01,225.0,0.62,6.41,2.0,36.62,23067.86,1,112.62,112.8,15.38,FINANCE - GENERAL
216,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/ilandfstransportationnetworks/ITN,ITN,infrastructuregeneral,ilandfstransportationnetworks,93.66,20.0,4.12,7.65,10.0,25.25,1598.75,1,5.83,6.35,0.52,INFRASTRUCTURE - GENERAL
217,http://www.moneycontrol.com/india/stockpricequote/cementmajor/indiacements/IC,IC,cementmajor,indiacements,165.25,10.0,0.87,3.25,10.0,36.29,3573.76,1,10.02,35.55,0.7,CEMENT - MAJOR
218,http://www.moneycontrol.com/india/stockpricequote/financehousing/indiabullshousingfinance/IHF01,IHF01,financehousing,indiabullshousingfinance,361.84,1350.0,2.27,83.61,2.0,36.62,50822.14,1,14.14,14.25,3.29,FINANCE - HOUSING
220,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/indiabullsventures/IS13,IS13,financeinvestments,indiabullsventures,42.13,50.0,0.21,0.96,2.0,36.62,26468.08,1,492.58,507.97,11.57,FINANCE - INVESTMENTS
221,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/indianbank/IB04,IB04,bankspublicsector,indianbank,329.53,0.0,,26.21,10.0,12.43,16891.86,1,11.29,13.42,1.07,BANKS - PUBLIC SECTOR
222,http://www.moneycontrol.com/india/stockpricequote/hotels/indianhotelscompany/IHC,IHC,hotels,indianhotelscompany,34.48,35.0,0.26,1.21,1.0,69.32,15769.57,1,53.25,109.59,3.85,HOTELS
223,http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/indocountindustries/ICI07,ICI07,textilesspinningcottonblended,indocountindustries,48.51,40.0,1.18,6.64,2.0,14.46,1341.33,1,8.31,10.23,1.4,TEXTILES - SPINNING - COTTON BLENDED
224,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/indocoremedies/IR05,IR05,pharmaceuticals,indocoremedies,75.21,80.0,0.8,4.47,2.0,29.05,1832.87,1,16.83,44.5,2.64,PHARMACEUTICALS
225,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/indusindbank/IIB,IIB,banksprivatesector,indusindbank,397.47,60.0,0.31,60.06,10.0,32.64,118030.67,1,32.73,32.73,4.95,BANKS - PRIVATE SECTOR
226,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/infibeamincorporation/IIL03,IIL03,miscellaneous,infibeamincorporation,12.54,0.0,,0.15,1.0,745.23,10125.19,1,191.0,1018.67,12.19,MISCELLANEOUS
227,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/infoedgeindia/IEI01,IEI01,miscellaneous,infoedgeindia,177.69,45.0,0.36,14.96,10.0,39.36,15231.6,1,74.68,83.51,7.03,MISCELLANEOUS
228,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/infosys/IT,IT,computerssoftware,infosys,290.74,515.0,2.01,73.97,5.0,21.82,279666.55,1,15.92,17.31,4.4,COMPUTERS - SOFTWARE
229,http://www.moneycontrol.com/india/stockpricequote/compressors/ingersollrandindia/IRI01,IRI01,compressors,ingersollrandindia,364.43,60.0,1.05,28.16,10.0,32.28,1809.16,1,17.83,20.35,1.57,COMPRESSORS
230,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/inoxleisure/INO01,INO01,mediaentertainment,inoxleisure,72.59,0.0,,11.89,10.0,35.36,2553.24,1,12.68,22.26,3.65,MEDIA & ENTERTAINMENT
232,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/intellectdesignarena/IDA,IDA,computerssoftware,intellectdesignarena,55.77,0.0,,2.61,5.0,21.82,2683.65,1,46.28,81.74,3.83,COMPUTERS - SOFTWARE
233,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/interglobeaviation/IA04,IA04,transportlogistics,interglobeaviation,157.24,340.0,2.79,58.33,10.0,19.25,46880.34,1,17.5,20.91,7.76,TRANSPORT & LOGISTICS
235,http://www.moneycontrol.com/india/stockpricequote/refineries/indianoilcorporation/IOC,IOC,refineries,indianoilcorporation,102.81,190.0,11.3,21.98,10.0,8.41,163255.52,1,5.75,7.65,1.64,REFINERIES
236,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ipcalaboratories/IL,IL,pharmaceuticals,ipcalaboratories,214.34,50.0,0.15,18.45,2.0,29.05,8559.09,1,21.0,36.72,3.16,PHARMACEUTICALS
237,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/irbinfrastructuredevelopers/IID01,IID01,infrastructuregeneral,irbinfrastructuredevelopers,83.92,50.0,2.19,12.64,10.0,30.6,8039.42,1,18.1,18.1,2.73,INFRASTRUCTURE - GENERAL
238,http://www.moneycontrol.com/india/stockpricequote/engineeringheavy/isgecheavyengineering/SIS06,SIS06,engineeringheavy,isgecheavyengineering,1692.49,300.0,0.54,161.81,10.0,23.24,4053.28,1,21.78,34.07,3.26,ENGINEERING - HEAVY
239,http://www.moneycontrol.com/india/stockpricequote/cigarettes/itc/ITC,ITC,cigarettes,itc,46.35,475.0,1.8,9.2,1.0,28.93,322803.6,1,26.11,28.75,5.71,CIGARETTES
240,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/itdcementationindia/ITD03,ITD03,constructioncontractingcivil,itdcementationindia,36.03,40.0,0.28,4.92,1.0,30.6,2460.0,1,17.61,29.11,3.97,CONSTRUCTION & CONTRACTING - CIVIL
241,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/jkumarinfraprojects/KI01,KI01,constructioncontractingcivil,jkumarinfraprojects,201.62,40.0,0.77,18.05,5.0,30.6,1969.95,1,9.41,14.42,1.29,CONSTRUCTION & CONTRACTING - CIVIL
242,http://www.moneycontrol.com/india/stockpricequote/cementmajor/jkcement/JKC03,JKC03,cementmajor,jkcement,323.51,80.0,0.87,48.89,10.0,36.29,6396.94,1,12.11,18.71,2.83,CEMENT - MAJOR
243,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/jagranprakashan/JP12,JP12,mediaentertainment,jagranprakashan,62.08,150.0,2.02,8.54,2.0,15.58,4616.68,1,13.25,17.36,2.39,MEDIA & ENTERTAINMENT
244,http://www.moneycontrol.com/india/stockpricequote/steelgpgcsheets/jaicorp/JC08,JC08,steelgpgcsheets,jaicorp,62.13,50.0,0.33,1.37,1.0,60.72,2678.53,1,67.31,109.56,2.42,STEEL - GP & GC SHEETS
245,http://www.moneycontrol.com/india/stockpricequote/plastics/jainirrigationsystems/JIS02,JIS02,plastics,jainirrigationsystems,92.69,37.5,0.77,5.66,2.0,17.69,4854.46,1,10.29,17.28,1.06,PLASTICS
246,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/jaiprakashassociates/JA02,JA02,infrastructuregeneral,jaiprakashassociates,32.52,0.0,,1.45,2.0,30.6,3514.9,1,4.09,9.97,0.44,INFRASTRUCTURE - GENERAL
247,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/jbchemicalspharmaceuticals/JBC01,JBC01,pharmaceuticals,jbchemicalspharmaceuticals,181.36,50.0,0.35,15.32,2.0,29.05,2382.58,1,12.95,18.61,1.57,PHARMACEUTICALS
250,http://www.moneycontrol.com/india/stockpricequote/steellarge/jindalstainlesshisar/JSH,JSH,steellarge,jindalstainlesshisar,53.31,0.0,,16.77,2.0,11.58,3784.39,1,5.71,9.56,3.01,STEEL - LARGE
251,http://www.moneycontrol.com/india/stockpricequote/packaging/jindalpolyfilms/JPF01,JPF01,packaging,jindalpolyfilms,422.11,10.0,0.43,3.32,10.0,24.28,1025.26,1,8.79,70.53,0.55,PACKAGING
252,http://www.moneycontrol.com/india/stockpricequote/steeltubespipes/jindalsaw/JS08,JS08,steeltubespipes,jindalsaw,186.07,50.0,1.04,12.07,2.0,19.46,3061.65,1,4.77,7.93,0.51,STEEL - TUBES & PIPES
254,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/jammukashmirbank/JKB,JKB,banksprivatesector,jammukashmirbank,105.64,0.0,,3.64,1.0,32.64,3215.86,1,15.87,15.87,0.55,BANKS - PRIVATE SECTOR
255,http://www.moneycontrol.com/india/stockpricequote/cementmajor/jklakshmicement/JKL01,JKL01,cementmajor,jklakshmicement,124.55,15.0,0.23,7.14,5.0,36.29,3911.94,1,14.86,46.56,2.67,CEMENT - MAJOR
256,http://www.moneycontrol.com/india/stockpricequote/tyres/jktyreindustries/JKT01,JKT01,tyres,jktyreindustries,75.7,125.0,1.95,1.9,2.0,27.04,2905.48,1,13.32,67.42,1.69,TYRES
