,DETAIL,magnitude,parameter
703,BA08,5.00,FACE VALUE (Rs)
704,BI14,"54,258.26",MARKET CAP (Rs Cr)
705,BI14,22.48,P/E
706,BI14,100.84,BOOK VALUE (Rs)
707,BI14,160.00%,DIV (%)
708,BI14,1,Market Lot
709,BI14,22.48,INDUSTRY P/E
710,BI14,13.05,EPS (TTM)
711,BI14,15.10,P/C
712,BI14,2.91,PRICE/BOOK
713,BI14,5.45%,DIV YIELD.(%)
714,BI14,10.00,FACE VALUE (Rs)
715,BHE,"27,608.93",MARKET CAP (Rs Cr)
716,BHE,34.18,P/E
717,BHE,87.96,BOOK VALUE (Rs)
718,BHE,79.00%,DIV (%)
719,BHE,1,Market Lot
720,BHE,23.24,INDUSTRY P/E
721,BHE,2.20,EPS (TTM)
722,BHE,17.33,P/C
723,BHE,0.85,PRICE/BOOK
724,BHE,2.10%,DIV YIELD.(%)
725,BHE,2.00,FACE VALUE (Rs)
726,BL03,"37,425.00",MARKET CAP (Rs Cr)
727,BL03,156.72,P/E
728,BL03,60.12,BOOK VALUE (Rs)
729,BL03,20.00%,DIV (%)
730,BL03,1,Market Lot
731,BL03,29.05,INDUSTRY P/E
732,BL03,3.98,EPS (TTM)
733,BL03,99.96,P/C
734,BL03,10.38,PRICE/BOOK
735,BL03,0.16%,DIV YIELD.(%)
736,BL03,5.00,FACE VALUE (Rs)
737,BC07,"5,631.02",MARKET CAP (Rs Cr)
738,BC07,48.91,P/E
739,BC07,427.15,BOOK VALUE (Rs)
740,BC07,65.00%,DIV (%)
741,BC07,1,Market Lot
742,BC07,36.29,INDUSTRY P/E
743,BC07,14.95,EPS (TTM)
744,BC07,21.56,P/C
745,BC07,1.71,PRICE/BOOK
746,BC07,0.89%,DIV YIELD.(%)
747,BC07,10.00,FACE VALUE (Rs)
748,BGV,"1,919.04",MARKET CAP (Rs Cr)
749,BGV,33.64,P/E
750,BGV,53.16,BOOK VALUE (Rs)
751,BGV,60.00%,DIV (%)
752,BGV,1,Market Lot
753,BGV,29.05,INDUSTRY P/E
754,BGV,5.53,EPS (TTM)
755,BGV,30.60,P/C
756,BGV,3.50,PRICE/BOOK
757,BGV,0.32%,DIV YIELD.(%)
758,BGV,1.00,FACE VALUE (Rs)
759,BDE,"8,579.31",MARKET CAP (Rs Cr)
760,BDE,60.37,P/E
761,BDE,279.75,BOOK VALUE (Rs)
762,BDE,150.00%,DIV (%)
763,BDE,1,Market Lot
764,BDE,52.73,INDUSTRY P/E
765,BDE,59.89,EPS (TTM)
766,BDE,45.86,P/C
767,BDE,12.92,PRICE/BOOK
768,BDE,0.41%,DIV YIELD.(%)
769,BDE,10.00,FACE VALUE (Rs)
770,BS,"6,239.23",MARKET CAP (Rs Cr)
771,BS,43.96,P/E
772,BS,95.45,BOOK VALUE (Rs)
773,BS,375.00%,DIV (%)
774,BS,1,Market Lot
775,BS,20.53,INDUSTRY P/E
776,BS,14.76,EPS (TTM)
777,BS,30.81,P/C
778,BS,6.80,PRICE/BOOK
779,BS,1.16%,DIV YIELD.(%)
780,BS,2.00,FACE VALUE (Rs)
781,BBT,"10,738.94",MARKET CAP (Rs Cr)
782,BBT,-,P/E
783,BBT,43.18,BOOK VALUE (Rs)
784,BBT,50.00%,DIV (%)
785,BBT,1,Market Lot
786,BBT,32.14,INDUSTRY P/E
787,BBT,-,EPS (TTM)
788,BBT,-,P/C
789,BBT,35.64,PRICE/BOOK
790,BBT,0.06%,DIV YIELD.(%)
791,BBT,2.00,FACE VALUE (Rs)
792,BDM,"4,583.01",MARKET CAP (Rs Cr)
793,BDM,132.87,P/E
794,BDM,21.20,BOOK VALUE (Rs)
795,BDM,35.00%,DIV (%)
796,BDM,1,Market Lot
797,BDM,50.95,INDUSTRY P/E
798,BDM,1.67,EPS (TTM)
799,BDM,71.35,P/C
800,BDM,10.47,PRICE/BOOK
801,BDM,0.32%,DIV YIELD.(%)
802,BDM,2.00,FACE VALUE (Rs)
803,B05,"55,379.88",MARKET CAP (Rs Cr)
804,B05,40.40,P/E
805,B05,3332.27,BOOK VALUE (Rs)
806,B05,1650.00%,DIV (%)
807,B05,1,Market Lot
808,B05,35.63,INDUSTRY P/E
809,B05,449.12,EPS (TTM)
810,B05,30.13,P/C
811,B05,5.45,PRICE/BOOK
812,B05,0.91%,DIV YIELD.(%)
813,B05,10.00,FACE VALUE (Rs)
814,BPC,"89,340.67",MARKET CAP (Rs Cr)
815,BPC,11.28,P/E
816,BPC,137.83,BOOK VALUE (Rs)
817,BPC,310.00%,DIV (%)
818,BPC,1,Market Lot
819,BPC,8.41,INDUSTRY P/E
820,BPC,36.51,EPS (TTM)
821,BPC,8.45,P/C
822,BPC,2.99,PRICE/BOOK
823,BPC,7.53%,DIV YIELD.(%)
824,BPC,10.00,FACE VALUE (Rs)
825,BI,"73,575.85",MARKET CAP (Rs Cr)
826,BI,77.62,P/E
827,BI,294.01,BOOK VALUE (Rs)
828,BI,1100.00%,DIV (%)
829,BI,1,Market Lot
830,BI,64.74,INDUSTRY P/E
831,BI,78.95,EPS (TTM)
832,BI,68.91,P/C
833,BI,20.84,PRICE/BOOK
834,BI,0.36%,DIV YIELD.(%)
835,BI,2.00,FACE VALUE (Rs)
836,CHC,"40,796.14",MARKET CAP (Rs Cr)
837,CHC,37.38,P/E
838,CHC,75.30,BOOK VALUE (Rs)
839,CHC,320.00%,DIV (%)
840,CHC,1,Market Lot
841,CHC,29.05,INDUSTRY P/E
842,CHC,10.66,EPS (TTM)
843,CHC,29.47,P/C
844,CHC,5.29,PRICE/BOOK
845,CHC,0.80%,DIV YIELD.(%)
846,CHC,1.00,FACE VALUE (Rs)
847,CFH,"4,734.37",MARKET CAP (Rs Cr)
848,CFH,15.69,P/E
849,CFH,80.83,BOOK VALUE (Rs)
850,CFH,100.00%,DIV (%)
851,CFH,1,Market Lot
852,CFH,23.49,INDUSTRY P/E
853,CFH,22.66,EPS (TTM)
854,CFH,15.53,P/C
855,CFH,4.40,PRICE/BOOK
856,CFH,0.56%,DIV YIELD.(%)
857,CFH,2.00,FACE VALUE (Rs)
858,CB06,"19,786.61",MARKET CAP (Rs Cr)
859,CB06,-,P/E
860,CB06,330.40,BOOK VALUE (Rs)
861,CB06,10.00%,DIV (%)
862,CB06,1,Market Lot
863,CB06,12.43,INDUSTRY P/E
864,CB06,-,EPS (TTM)
865,CB06,-,P/C
866,CB06,0.82,PRICE/BOOK
867,CB06,0.37%,DIV YIELD.(%)
868,CB06,10.00,FACE VALUE (Rs)
869,FCH,"5,750.03",MARKET CAP (Rs Cr)
870,FCH,17.58,P/E
871,FCH,257.66,BOOK VALUE (Rs)
872,FCH,28.00%,DIV (%)
873,FCH,1,Market Lot
874,FCH,36.62,INDUSTRY P/E
875,FCH,33.04,EPS (TTM)
876,FCH,16.20,P/C
877,FCH,2.25,PRICE/BOOK
878,FCH,0.48%,DIV YIELD.(%)
879,FCH,10.00,FACE VALUE (Rs)
880,CPL,"3,548.07",MARKET CAP (Rs Cr)
881,CPL,34.69,P/E
882,CPL,39.43,BOOK VALUE (Rs)
883,CPL,75.00%,DIV (%)
884,CPL,1,Market Lot
885,CPL,29.05,INDUSTRY P/E
886,CPL,13.53,EPS (TTM)
887,CPL,29.26,P/C
888,CPL,11.90,PRICE/BOOK
889,CPL,0.32%,DIV YIELD.(%)
890,CPL,2.00,FACE VALUE (Rs)
891,CU,"6,236.61",MARKET CAP (Rs Cr)
892,CU,43.47,P/E
893,CU,63.41,BOOK VALUE (Rs)
894,CU,175.00%,DIV (%)
895,CU,1,Market Lot
896,CU,41.14,INDUSTRY P/E
897,CU,7.59,EPS (TTM)
898,CU,28.69,P/C
899,CU,5.20,PRICE/BOOK
900,CU,0.53%,DIV YIELD.(%)
901,CU,1.00,FACE VALUE (Rs)
902,CAR,"4,006.73",MARKET CAP (Rs Cr)
903,CAR,24.88,P/E
904,CAR,224.04,BOOK VALUE (Rs)
905,CAR,280.00%,DIV (%)
906,CAR,1,Market Lot
907,CAR,51.31,INDUSTRY P/E
908,CAR,54.66,EPS (TTM)
909,CAR,24.43,P/C
910,CAR,6.07,PRICE/BOOK
911,CAR,2.06%,DIV YIELD.(%)
912,CAR,10.00,FACE VALUE (Rs)
913,CI01,"16,854.65",MARKET CAP (Rs Cr)
914,CI01,24.27,P/E
915,CI01,10.31,BOOK VALUE (Rs)
916,CI01,140.00%,DIV (%)
917,CI01,1,Market Lot
918,CI01,26.30,INDUSTRY P/E
919,CI01,7.02,EPS (TTM)
920,CI01,22.78,P/C
921,CI01,16.53,PRICE/BOOK
922,CI01,4.11%,DIV YIELD.(%)
923,CI01,5.00,FACE VALUE (Rs)
924,CC10,"3,724.12",MARKET CAP (Rs Cr)
925,CC10,38.09,P/E
926,CC10,48.35,BOOK VALUE (Rs)
927,CC10,175.00%,DIV (%)
928,CC10,1,Market Lot
929,CC10,32.14,INDUSTRY P/E
930,CC10,7.35,EPS (TTM)
931,CC10,34.18,P/C
932,CC10,5.79,PRICE/BOOK
933,CC10,1.25%,DIV YIELD.(%)
934,CC10,2.00,FACE VALUE (Rs)
935,C07,"5,404.33",MARKET CAP (Rs Cr)
936,C07,19.34,P/E
937,C07,639.03,BOOK VALUE (Rs)
938,C07,115.00%,DIV (%)
939,C07,1,Market Lot
940,C07,27.04,INDUSTRY P/E
941,C07,69.09,EPS (TTM)
942,C07,12.25,P/C
943,C07,2.09,PRICE/BOOK
944,C07,0.86%,DIV YIELD.(%)
945,C07,10.00,FACE VALUE (Rs)
946,CBO01,"19,675.44",MARKET CAP (Rs Cr)
947,CBO01,-,P/E
948,CBO01,68.70,BOOK VALUE (Rs)
949,CBO01,0.00%,DIV (%)
950,CBO01,1,Market Lot
951,CBO01,12.43,INDUSTRY P/E
952,CBO01,-,EPS (TTM)
953,CBO01,-,P/C
954,CBO01,1.09,PRICE/BOOK
955,CBO01,-%,DIV YIELD.(%)
956,CBO01,10.00,FACE VALUE (Rs)
957,CTI,"10,211.78",MARKET CAP (Rs Cr)
958,CTI,27.48,P/E
959,CTI,255.47,BOOK VALUE (Rs)
960,CTI,55.00%,DIV (%)
961,CTI,1,Market Lot
962,CTI,22.07,INDUSTRY P/E
963,CTI,33.27,EPS (TTM)
964,CTI,14.90,P/C
965,CTI,3.58,PRICE/BOOK
966,CTI,0.60%,DIV YIELD.(%)
967,CTI,10.00,FACE VALUE (Rs)
968,CP9,"5,805.73",MARKET CAP (Rs Cr)
969,CP9,37.06,P/E
970,CP9,31.84,BOOK VALUE (Rs)
971,CP9,100.00%,DIV (%)
972,CP9,1,Market Lot
973,CP9,39.23,INDUSTRY P/E
974,CP9,7.04,EPS (TTM)
975,CP9,24.43,P/C
976,CP9,8.19,PRICE/BOOK
977,CP9,0.38%,DIV YIELD.(%)
978,CP9,1.00,FACE VALUE (Rs)
979,CS18,"3,797.72",MARKET CAP (Rs Cr)
980,CS18,37.88,P/E
981,CS18,478.75,BOOK VALUE (Rs)
982,CS18,240.00%,DIV (%)
983,CS18,1,Market Lot
984,CS18,25.51,INDUSTRY P/E
985,CS18,77.08,EPS (TTM)
986,CS18,30.97,P/C
987,CS18,6.10,PRICE/BOOK
988,CS18,0.41%,DIV YIELD.(%)
989,CS18,5.00,FACE VALUE (Rs)
990,CES,"13,162.91",MARKET CAP (Rs Cr)
991,CES,15.11,P/E
992,CES,1070.79,BOOK VALUE (Rs)
993,CES,100.00%,DIV (%)
994,CES,1,Market Lot
995,CES,11.73,INDUSTRY P/E
996,CES,65.71,EPS (TTM)
997,CES,10.09,P/C
998,CES,0.93,PRICE/BOOK
999,CES,1.01%,DIV YIELD.(%)
1000,CES,10.00,FACE VALUE (Rs)
1001,CGC01,"13,962.21",MARKET CAP (Rs Cr)
1002,CGC01,43.09,P/E
1003,CGC01,13.77,BOOK VALUE (Rs)
1004,CGC01,0.00%,DIV (%)
1005,CGC01,1,Market Lot
1006,CGC01,47.97,INDUSTRY P/E
1007,CGC01,5.17,EPS (TTM)
1008,CGC01,41.48,P/C
1009,CGC01,16.18,PRICE/BOOK
1010,CGC01,-%,DIV YIELD.(%)
1011,CGC01,2.00,FACE VALUE (Rs)
1012,CG,"3,528.58",MARKET CAP (Rs Cr)
1013,CG,-,P/E
1014,CG,61.82,BOOK VALUE (Rs)
1015,CG,0.00%,DIV (%)
1016,CG,1,Market Lot
1017,CG,47.97,INDUSTRY P/E
1018,CG,-,EPS (TTM)
1019,CG,-,P/C
1020,CG,0.91,PRICE/BOOK
1021,CG,-%,DIV YIELD.(%)
1022,CG,2.00,FACE VALUE (Rs)
1023,CFC,"6,719.68",MARKET CAP (Rs Cr)
1024,CFC,13.99,P/E
1025,CFC,72.45,BOOK VALUE (Rs)
1026,CFC,19.00%,DIV (%)
1027,CFC,1,Market Lot
1028,CFC,14.80,INDUSTRY P/E
1029,CFC,11.54,EPS (TTM)
1030,CFC,12.37,P/C
1031,CFC,2.23,PRICE/BOOK
1032,CFC,1.18%,DIV YIELD.(%)
1033,CFC,10.00,FACE VALUE (Rs)
1034,CPC02,"4,476.28",MARKET CAP (Rs Cr)
1035,CPC02,4.90,P/E
1036,CPC02,283.84,BOOK VALUE (Rs)
1037,CPC02,210.00%,DIV (%)
1038,CPC02,1,Market Lot
1039,CPC02,8.41,INDUSTRY P/E
1040,CPC02,61.31,EPS (TTM)
1041,CPC02,3.57,P/C
1042,CPC02,1.06,PRICE/BOOK
1043,CPC02,6.99%,DIV YIELD.(%)
1044,CPC02,10.00,FACE VALUE (Rs)
1045,CDB,"25,254.92",MARKET CAP (Rs Cr)
1046,CDB,25.93,P/E
1047,CDB,338.17,BOOK VALUE (Rs)
1048,CDB,55.00%,DIV (%)
1049,CDB,1,Market Lot
1050,CDB,36.62,INDUSTRY P/E
1051,CDB,62.31,EPS (TTM)
1052,CDB,24.67,P/C
1053,CDB,4.78,PRICE/BOOK
1054,CDB,0.34%,DIV YIELD.(%)
1055,CDB,10.00,FACE VALUE (Rs)
1056,C,"49,277.70",MARKET CAP (Rs Cr)
1057,C,33.55,P/E
1058,C,177.23,BOOK VALUE (Rs)
1059,C,100.00%,DIV (%)
1060,C,1,Market Lot
1061,C,29.05,INDUSTRY P/E
1062,C,18.24,EPS (TTM)
1063,C,24.66,P/C
1064,C,3.45,PRICE/BOOK
1065,C,0.33%,DIV YIELD.(%)
1066,C,2.00,FACE VALUE (Rs)
1067,CUB,"12,448.75",MARKET CAP (Rs Cr)
1068,CUB,21.02,P/E
1069,CUB,53.49,BOOK VALUE (Rs)
1070,CUB,30.00%,DIV (%)
1071,CUB,1,Market Lot
1072,CUB,32.64,INDUSTRY P/E
1073,CUB,8.90,EPS (TTM)
1074,CUB,21.00,P/C
1075,CUB,3.50,PRICE/BOOK
1076,CUB,0.16%,DIV YIELD.(%)
1077,CUB,1.00,FACE VALUE (Rs)
1078,CI11,"173,217.75",MARKET CAP (Rs Cr)
1079,CI11,18.64,P/E
1080,CI11,37.40,BOOK VALUE (Rs)
1081,CI11,199.00%,DIV (%)
1082,CI11,1,Market Lot
1083,CI11,15.10,INDUSTRY P/E
1084,CI11,14.97,EPS (TTM)
1085,CI11,18.60,P/C
1086,CI11,7.46,PRICE/BOOK
1087,CI11,7.13%,DIV YIELD.(%)
1088,CI11,10.00,FACE VALUE (Rs)
1089,CDE,"6,454.80",MARKET CAP (Rs Cr)
1090,CDE,-,P/E
1091,CDE,82.96,BOOK VALUE (Rs)
1092,CDE,0.00%,DIV (%)
1093,CDE,1,Market Lot
1094,CDE,49.47,INDUSTRY P/E
1095,CDE,-,EPS (TTM)
1096,CDE,-,P/C
1097,CDE,3.68,PRICE/BOOK
1098,CDE,-%,DIV YIELD.(%)
1099,CDE,10.00,FACE VALUE (Rs)
1100,CPI,"33,145.53",MARKET CAP (Rs Cr)
1101,CPI,49.22,P/E
1102,CPI,71.59,BOOK VALUE (Rs)
1103,CPI,1000.00%,DIV (%)
1104,CPI,1,Market Lot
1105,CPI,66.23,INDUSTRY P/E
1106,CPI,24.76,EPS (TTM)
1107,CPI,39.94,P/C
1108,CPI,17.02,PRICE/BOOK
1109,CPI,0.82%,DIV YIELD.(%)
1110,CPI,1.00,FACE VALUE (Rs)
1111,CCI,"30,762.05",MARKET CAP (Rs Cr)
1112,CCI,29.33,P/E
1113,CCI,332.59,BOOK VALUE (Rs)
1114,CCI,171.00%,DIV (%)
1115,CCI,1,Market Lot
1116,CCI,25.25,INDUSTRY P/E
1117,CCI,43.04,EPS (TTM)
1118,CCI,21.34,P/C
1119,CCI,3.80,PRICE/BOOK
1120,CCI,1.35%,DIV YIELD.(%)
1121,CCI,10.00,FACE VALUE (Rs)
1122,CI45,"12,300.39",MARKET CAP (Rs Cr)
1123,CI45,18.65,P/E
1124,CI45,118.72,BOOK VALUE (Rs)
1125,CI45,500.00%,DIV (%)
1126,CI45,1,Market Lot
1127,CI45,14.80,INDUSTRY P/E
1128,CI45,22.55,EPS (TTM)
1129,CI45,16.26,P/C
1130,CI45,3.54,PRICE/BOOK
1131,CI45,1.19%,DIV YIELD.(%)
1132,CI45,1.00,FACE VALUE (Rs)
1133,CB,"5,004.97",MARKET CAP (Rs Cr)
1134,CB,-,P/E
1135,CB,61.14,BOOK VALUE (Rs)
1136,CB,0.00%,DIV (%)
1137,CB,1,Market Lot
1138,CB,12.43,INDUSTRY P/E
1139,CB,-,EPS (TTM)
1140,CB,-,P/C
1141,CB,0.49,PRICE/BOOK
1142,CB,-%,DIV YIELD.(%)
1143,CB,2.00,FACE VALUE (Rs)
1144,CK,"3,773.19",MARKET CAP (Rs Cr)
1145,CK,21.43,P/E
1146,CK,171.74,BOOK VALUE (Rs)
1147,CK,20.00%,DIV (%)
1148,CK,1,Market Lot
1149,CK,21.95,INDUSTRY P/E
1150,CK,9.97,EPS (TTM)
1151,CK,18.23,P/C
1152,CK,1.24,PRICE/BOOK
1153,CK,0.47%,DIV YIELD.(%)
1154,CK,5.00,FACE VALUE (Rs)
1155,CRI,"12,739.27",MARKET CAP (Rs Cr)
1156,CRI,53.50,P/E
1157,CRI,113.04,BOOK VALUE (Rs)
1158,CRI,2800.00%,DIV (%)
1159,CRI,1,Market Lot
1160,CRI,51.31,INDUSTRY P/E
1161,CRI,33.16,EPS (TTM)
1162,CRI,47.78,P/C
1163,CRI,15.69,PRICE/BOOK
1164,CRI,1.58%,DIV YIELD.(%)
1165,CRI,1.00,FACE VALUE (Rs)
1166,CI02,"19,072.75",MARKET CAP (Rs Cr)
1167,CI02,26.92,P/E
1168,CI02,160.56,BOOK VALUE (Rs)
1169,CI02,700.00%,DIV (%)
1170,CI02,1,Market Lot
1171,CI02,25.13,INDUSTRY P/E
1172,CI02,25.56,EPS (TTM)
1173,CI02,23.78,P/C
1174,CI02,4.29,PRICE/BOOK
1175,CI02,2.03%,DIV YIELD.(%)
1176,CI02,2.00,FACE VALUE (Rs)
1177,IE07,"8,219.09",MARKET CAP (Rs Cr)
1178,IE07,20.45,P/E
1179,IE07,202.30,BOOK VALUE (Rs)
1180,IE07,210.00%,DIV (%)
1181,IE07,1,Market Lot
1182,IE07,21.82,INDUSTRY P/E
1183,IE07,35.59,EPS (TTM)
1184,IE07,18.16,P/C
1185,IE07,3.60,PRICE/BOOK
1186,IE07,1.44%,DIV YIELD.(%)
1187,IE07,5.00,FACE VALUE (Rs)
1188,DI,"67,718.58",MARKET CAP (Rs Cr)
1189,DI,63.16,P/E
1190,DI,26.78,BOOK VALUE (Rs)
1191,DI,225.00%,DIV (%)
1192,DI,1,Market Lot
1193,DI,66.23,INDUSTRY P/E
1194,DI,6.07,EPS (TTM)
1195,DI,57.65,P/C
1196,DI,14.32,PRICE/BOOK
1197,DI,0.59%,DIV YIELD.(%)
1198,DI,1.00,FACE VALUE (Rs)
1199,DBE,"22,669.90",MARKET CAP (Rs Cr)
1200,DBE,286.67,P/E
1201,DBE,166.20,BOOK VALUE (Rs)
1202,DBE,0.00%,DIV (%)
1203,DBE,1,Market Lot
1204,DBE,90.80,INDUSTRY P/E
1205,DBE,8.87,EPS (TTM)
1206,DBE,268.23,P/C
1207,DBE,15.30,PRICE/BOOK
1208,DBE,-%,DIV YIELD.(%)
1209,DBE,2.00,FACE VALUE (Rs)
1210,C13,"4,865.32",MARKET CAP (Rs Cr)
1211,C13,14.99,P/E
1212,C13,86.88,BOOK VALUE (Rs)
1213,C13,40.00%,DIV (%)
1214,C13,1,Market Lot
1215,C13,15.58,INDUSTRY P/E
1216,C13,17.63,EPS (TTM)
1217,C13,11.68,P/C
1218,C13,3.04,PRICE/BOOK
1219,C13,1.51%,DIV YIELD.(%)
1220,C13,10.00,FACE VALUE (Rs)
1221,DCB01,"5,522.34",MARKET CAP (Rs Cr)
1222,DCB01,22.51,P/E
1223,DCB01,82.92,BOOK VALUE (Rs)
1224,DCB01,7.50%,DIV (%)
1225,DCB01,1,Market Lot
1226,DCB01,32.64,INDUSTRY P/E
1227,DCB01,7.96,EPS (TTM)
1228,DCB01,18.49,P/C
1229,DCB01,2.16,PRICE/BOOK
1230,DCB01,0.42%,DIV YIELD.(%)
1231,DCB01,10.00,FACE VALUE (Rs)
1232,DCM02,"4,968.31",MARKET CAP (Rs Cr)
1233,DCM02,7.22,P/E
1234,DCM02,198.77,BOOK VALUE (Rs)
1235,DCM02,290.00%,DIV (%)
1236,DCM02,1,Market Lot
1237,DCM02,22.07,INDUSTRY P/E
1238,DCM02,42.39,EPS (TTM)
1239,DCM02,6.01,P/C
1240,DCM02,1.54,PRICE/BOOK
1241,DCM02,1.90%,DIV YIELD.(%)
1242,DCM02,2.00,FACE VALUE (Rs)
1243,DFP,"2,528.84",MARKET CAP (Rs Cr)
1244,DFP,23.58,P/E
1245,DFP,208.90,BOOK VALUE (Rs)
1246,DFP,60.00%,DIV (%)
1247,DFP,1,Market Lot
1248,DFP,14.80,INDUSTRY P/E
1249,DFP,12.16,EPS (TTM)
1250,DFP,16.03,P/C
1251,DFP,1.37,PRICE/BOOK
1252,DFP,2.09%,DIV YIELD.(%)
1253,DFP,10.00,FACE VALUE (Rs)
1254,DC11,"6,579.94",MARKET CAP (Rs Cr)
1255,DC11,62.88,P/E
1256,DC11,39.69,BOOK VALUE (Rs)
1257,DC11,35.00%,DIV (%)
1258,DC11,1,Market Lot
1259,DC11,39.36,INDUSTRY P/E
1260,DC11,3.91,EPS (TTM)
1261,DC11,55.25,P/C
1262,DC11,6.19,PRICE/BOOK
1263,DC11,0.14%,DIV YIELD.(%)
1264,DC11,1.00,FACE VALUE (Rs)
1265,DN02,"1,724.79",MARKET CAP (Rs Cr)
1266,DN02,-,P/E
1267,DN02,47.48,BOOK VALUE (Rs)
1268,DN02,0.00%,DIV (%)
1269,DN02,1,Market Lot
1270,DN02,35.36,INDUSTRY P/E
1271,DN02,-,EPS (TTM)
1272,DN02,16.47,P/C
1273,DN02,1.86,PRICE/BOOK
1274,DN02,-%,DIV YIELD.(%)
1275,DN02,10.00,FACE VALUE (Rs)
1276,DB,"3,783.90",MARKET CAP (Rs Cr)
1277,DB,-,P/E
1278,DB,40.74,BOOK VALUE (Rs)
1279,DB,0.00%,DIV (%)
1280,DB,1,Market Lot
1281,DB,12.43,INDUSTRY P/E
1282,DB,-,EPS (TTM)
1283,DB,-,P/C
1284,DB,0.41,PRICE/BOOK
1285,DB,-%,DIV YIELD.(%)
1286,DB,10.00,FACE VALUE (Rs)
1287,DHF,"19,622.50",MARKET CAP (Rs Cr)
1288,DHF,16.74,P/E
1289,DHF,280.42,BOOK VALUE (Rs)
1290,DHF,55.00%,DIV (%)
1291,DHF,1,Market Lot
1292,DHF,23.49,INDUSTRY P/E
1293,DHF,37.37,EPS (TTM)
1294,DHF,16.36,P/C
1295,DHF,2.23,PRICE/BOOK
1296,DHF,0.88%,DIV YIELD.(%)
1297,DHF,10.00,FACE VALUE (Rs)
1298,DA01,"2,953.53",MARKET CAP (Rs Cr)
1299,DA01,23.41,P/E
1300,DA01,131.63,BOOK VALUE (Rs)
1301,DA01,30.00%,DIV (%)
1302,DA01,1,Market Lot
1303,DA01,39.10,INDUSTRY P/E
1304,DA01,25.71,EPS (TTM)
1305,DA01,21.04,P/C
1306,DA01,4.57,PRICE/BOOK
1307,DA01,0.10%,DIV YIELD.(%)
1308,DA01,2.00,FACE VALUE (Rs)
1309,DB04,"11,391.55",MARKET CAP (Rs Cr)
1310,DB04,18.37,P/E
1311,DB04,180.83,BOOK VALUE (Rs)
1312,DB04,10.00%,DIV (%)
1313,DB04,1,Market Lot
1314,DB04,30.60,INDUSTRY P/E
1315,DB04,45.35,EPS (TTM)
1316,DB04,12.72,P/C
1317,DB04,4.61,PRICE/BOOK
1318,DB04,0.12%,DIV YIELD.(%)
1319,DB04,10.00,FACE VALUE (Rs)
1320,DTV,"13,432.07",MARKET CAP (Rs Cr)
1321,DTV,-,P/E
1322,DTV,2.09,BOOK VALUE (Rs)
1323,DTV,0.00%,DIV (%)
1324,DTV,1,Market Lot
1325,DTV,35.36,INDUSTRY P/E
1326,DTV,-,EPS (TTM)
1327,DTV,-,P/C
1328,DTV,34.90,PRICE/BOOK
1329,DTV,-%,DIV YIELD.(%)
1330,DTV,1.00,FACE VALUE (Rs)
1331,DL03,"29,229.42",MARKET CAP (Rs Cr)
1332,DL03,33.61,P/E
1333,DL03,236.51,BOOK VALUE (Rs)
1334,DL03,500.00%,DIV (%)
1335,DL03,1,Market Lot
1336,DL03,29.05,INDUSTRY P/E
1337,DL03,32.76,EPS (TTM)
1338,DL03,28.88,P/C
1339,DL03,4.66,PRICE/BOOK
1340,DL03,0.91%,DIV YIELD.(%)
1341,DL03,2.00,FACE VALUE (Rs)
1342,D04,"35,637.10",MARKET CAP (Rs Cr)
1343,D04,97.44,P/E
1344,D04,84.46,BOOK VALUE (Rs)
1345,D04,100.00%,DIV (%)
1346,D04,1,Market Lot
1347,D04,30.60,INDUSTRY P/E
1348,D04,2.05,EPS (TTM)
1349,D04,71.59,P/C
1350,D04,2.37,PRICE/BOOK
1351,D04,1.00%,DIV YIELD.(%)
1352,D04,2.00,FACE VALUE (Rs)
1353,DLP01,"7,293.64",MARKET CAP (Rs Cr)
1354,DLP01,43.41,P/E
1355,DLP01,95.18,BOOK VALUE (Rs)
1356,DLP01,30.00%,DIV (%)
1357,DLP01,1,Market Lot
1358,DLP01,48.56,INDUSTRY P/E
1359,DLP01,20.16,EPS (TTM)
1360,DLP01,36.65,P/C
1361,DLP01,9.19,PRICE/BOOK
1362,DLP01,0.34%,DIV YIELD.(%)
1363,DLP01,10.00,FACE VALUE (Rs)
1364,DRL,"39,021.97",MARKET CAP (Rs Cr)
1365,DRL,68.83,P/E
1366,DRL,698.95,BOOK VALUE (Rs)
1367,DRL,400.00%,DIV (%)
1368,DRL,1,Market Lot
1369,DRL,29.05,INDUSTRY P/E
1370,DRL,34.16,EPS (TTM)
1371,DRL,29.10,P/C
1372,DRL,3.36,PRICE/BOOK
1373,DRL,0.85%,DIV YIELD.(%)
1374,DRL,5.00,FACE VALUE (Rs)
1375,eS06,"5,023.13",MARKET CAP (Rs Cr)
1376,eS06,18.06,P/E
1377,eS06,356.28,BOOK VALUE (Rs)
1378,eS06,10.00%,DIV (%)
1379,eS06,1,Market Lot
1380,eS06,23.52,INDUSTRY P/E
1381,eS06,72.00,EPS (TTM)
1382,eS06,16.32,P/C
1383,eS06,3.65,PRICE/BOOK
1384,eS06,0.08%,DIV YIELD.(%)
1385,eS06,10.00,FACE VALUE (Rs)
1386,EC01,"28,964.29",MARKET CAP (Rs Cr)
1387,EC01,202.50,P/E
1388,EC01,18.80,BOOK VALUE (Rs)
1389,EC01,130.00%,DIV (%)
1390,EC01,1,Market Lot
1391,EC01,36.62,INDUSTRY P/E
1392,EC01,1.56,EPS (TTM)
