,DETAIL,magnitude,parameter
160,AIE01,49.82,EPS (TTM)
161,AIE01,27.49,P/C
162,AIE01,5.08,PRICE/BOOK
163,AIE01,0.51%,DIV YIELD.(%)
164,AIE01,2.00,FACE VALUE (Rs)
165,AP22,"9,720.87",MARKET CAP (Rs Cr)
166,AP22,22.74,P/E
167,AP22,219.44,BOOK VALUE (Rs)
168,AP22,0.00%,DIV (%)
169,AP22,1,Market Lot
170,AP22,29.05,INDUSTRY P/E
171,AP22,48.57,EPS (TTM)
172,AP22,20.06,P/C
173,AP22,5.03,PRICE/BOOK
174,AP22,-%,DIV YIELD.(%)
175,AP22,2.00,FACE VALUE (Rs)
176,ICI,"8,821.83",MARKET CAP (Rs Cr)
177,ICI,22.03,P/E
178,ICI,301.80,BOOK VALUE (Rs)
179,ICI,220.00%,DIV (%)
180,ICI,1,Market Lot
181,ICI,57.09,INDUSTRY P/E
182,ICI,85.84,EPS (TTM)
183,ICI,19.23,P/C
184,ICI,6.26,PRICE/BOOK
185,ICI,1.16%,DIV YIELD.(%)
186,ICI,10.00,FACE VALUE (Rs)
187,AP35,"9,765.12",MARKET CAP (Rs Cr)
188,AP35,23.14,P/E
189,AP35,121.44,BOOK VALUE (Rs)
190,AP35,200.00%,DIV (%)
191,AP35,1,Market Lot
192,AP35,29.05,INDUSTRY P/E
193,AP35,22.39,EPS (TTM)
194,AP35,18.65,P/C
195,AP35,4.27,PRICE/BOOK
196,AP35,0.77%,DIV YIELD.(%)
197,AP35,2.00,FACE VALUE (Rs)
198,AL05,"23,377.95",MARKET CAP (Rs Cr)
199,AL05,32.66,P/E
200,AL05,427.26,BOOK VALUE (Rs)
201,AL05,300.00%,DIV (%)
202,AL05,1,Market Lot
203,AL05,29.05,INDUSTRY P/E
204,AL05,59.87,EPS (TTM)
205,AL05,28.39,P/C
206,AL05,4.58,PRICE/BOOK
207,AL05,0.31%,DIV YIELD.(%)
208,AL05,2.00,FACE VALUE (Rs)
209,AB15,"4,683.21",MARKET CAP (Rs Cr)
210,AB15,-,P/E
211,AB15,75.11,BOOK VALUE (Rs)
212,AB15,0.00%,DIV (%)
213,AB15,1,Market Lot
214,AB15,12.43,INDUSTRY P/E
215,AB15,-,EPS (TTM)
216,AB15,-,P/C
217,AB15,0.59,PRICE/BOOK
218,AB15,-%,DIV YIELD.(%)
219,AB15,10.00,FACE VALUE (Rs)
220,AGL02,"2,759.16",MARKET CAP (Rs Cr)
221,AGL02,95.98,P/E
222,AGL02,55.81,BOOK VALUE (Rs)
223,AGL02,100.00%,DIV (%)
224,AGL02,1,Market Lot
225,AGL02,44.24,INDUSTRY P/E
226,AGL02,1.17,EPS (TTM)
227,AGL02,21.15,P/C
228,AGL02,2.01,PRICE/BOOK
229,AGL02,1.78%,DIV YIELD.(%)
230,AGL02,2.00,FACE VALUE (Rs)
231,ARB,"13,151.71",MARKET CAP (Rs Cr)
232,ARB,27.91,P/E
233,ARB,179.40,BOOK VALUE (Rs)
234,ARB,425.00%,DIV (%)
235,ARB,1,Market Lot
236,ARB,30.46,INDUSTRY P/E
237,ARB,27.59,EPS (TTM)
238,ARB,18.74,P/C
239,ARB,4.29,PRICE/BOOK
240,ARB,0.55%,DIV YIELD.(%)
241,ARB,1.00,FACE VALUE (Rs)
242,AC18,"40,685.87",MARKET CAP (Rs Cr)
243,AC18,31.92,P/E
244,AC18,102.35,BOOK VALUE (Rs)
245,AC18,140.00%,DIV (%)
246,AC18,1,Market Lot
247,AC18,36.29,INDUSTRY P/E
248,AC18,6.42,EPS (TTM)
