,BOOK VALUE (Rs),DIV (%),DIV YIELD.(%),EPS (TTM),FACE VALUE (Rs),INDUSTRY P/E,MARKET CAP (Rs Cr),Market Lot,P/C,P/E,PRICE/BOOK,company_code
0,26.70,0.00%,-%,4.20,5.00,11.73,"1,342.47",1,68.28,84.86,13.35,BFU
0,30.56,225.00%,1.92%,5.70,1.00,20.88,"28,746.79",1,17.41,20.53,3.83,BE03
0,175.61,0.00%,-%,32.67,10.00,36.62,"16,619.10",1,35.46,36.49,6.79,SM11
0,90.89,475.00%,1.48%,15.19,2.00,46.42,"29,886.13",1,29.47,42.26,7.06,BF03
0,253.38,20.00%,0.26%,0.20,5.00,341.93,"150,921.84",1,11.50,"1,887.75",1.49,BA08
0,100.84,160.00%,5.45%,13.05,10.00,22.48,"54,258.26",1,15.10,22.48,2.91,BI14
0,87.96,79.00%,2.10%,2.20,2.00,23.24,"27,608.93",1,17.33,34.18,0.85,BHE
0,60.12,20.00%,0.16%,3.98,5.00,29.05,"37,425.00",1,99.96,156.72,10.38,BL03
0,427.15,65.00%,0.89%,14.95,10.00,36.29,"5,631.02",1,21.56,48.91,1.71,BC07
0,53.16,60.00%,0.32%,5.53,1.00,29.05,"1,919.04",1,30.60,33.64,3.50,BGV
0,279.75,150.00%,0.41%,59.89,10.00,52.73,"8,579.31",1,45.86,60.37,12.92,BDE
0,95.45,375.00%,1.16%,14.76,2.00,20.53,"6,239.23",1,30.81,43.96,6.80,BS
0,43.18,50.00%,0.06%,-,2.00,32.14,"10,738.94",1,-,-,35.64,BBT
0,21.20,35.00%,0.32%,1.67,2.00,50.95,"4,583.01",1,71.35,132.87,10.47,BDM
0,3332.27,1650.00%,0.91%,449.12,10.00,35.63,"55,379.88",1,30.13,40.40,5.45,B05
0,137.83,310.00%,7.53%,36.51,10.00,8.41,"89,340.67",1,8.45,11.28,2.99,BPC
0,294.01,1100.00%,0.36%,78.95,2.00,64.74,"73,575.85",1,68.91,77.62,20.84,BI
0,75.30,320.00%,0.80%,10.66,1.00,29.05,"40,796.14",1,29.47,37.38,5.29,CHC
0,80.83,100.00%,0.56%,22.66,2.00,23.49,"4,734.37",1,15.53,15.69,4.40,CFH
0,330.40,10.00%,0.37%,-,10.00,12.43,"19,786.61",1,-,-,0.82,CB06
0,257.66,28.00%,0.48%,33.04,10.00,36.62,"5,750.03",1,16.20,17.58,2.25,FCH
0,39.43,75.00%,0.32%,13.53,2.00,29.05,"3,548.07",1,29.26,34.69,11.90,CPL
0,63.41,175.00%,0.53%,7.59,1.00,41.14,"6,236.61",1,28.69,43.47,5.20,CU
0,224.04,280.00%,2.06%,54.66,10.00,51.31,"4,006.73",1,24.43,24.88,6.07,CAR
0,10.31,140.00%,4.11%,7.02,5.00,26.30,"16,854.65",1,22.78,24.27,16.53,CI01
0,48.35,175.00%,1.25%,7.35,2.00,32.14,"3,724.12",1,34.18,38.09,5.79,CC10
0,639.03,115.00%,0.86%,69.09,10.00,27.04,"5,404.33",1,12.25,19.34,2.09,C07
0,68.70,0.00%,-%,-,10.00,12.43,"19,675.44",1,-,-,1.09,CBO01
0,255.47,55.00%,0.60%,33.27,10.00,22.07,"10,211.78",1,14.90,27.48,3.58,CTI
0,31.84,100.00%,0.38%,7.04,1.00,39.23,"5,805.73",1,24.43,37.06,8.19,CP9
0,478.75,240.00%,0.41%,77.08,5.00,25.51,"3,797.72",1,30.97,37.88,6.10,CS18
0,1070.79,100.00%,1.01%,65.71,10.00,11.73,"13,162.91",1,10.09,15.11,0.93,CES
0,13.77,0.00%,-%,5.17,2.00,47.97,"13,962.21",1,41.48,43.09,16.18,CGC01
0,61.82,0.00%,-%,-,2.00,47.97,"3,528.58",1,-,-,0.91,CG
0,72.45,19.00%,1.18%,11.54,10.00,14.80,"6,719.68",1,12.37,13.99,2.23,CFC
0,283.84,210.00%,6.99%,61.31,10.00,8.41,"4,476.28",1,3.57,4.90,1.06,CPC02
0,338.17,55.00%,0.34%,62.31,10.00,36.62,"25,254.92",1,24.67,25.93,4.78,CDB
0,177.23,100.00%,0.33%,18.24,2.00,29.05,"49,277.70",1,24.66,33.55,3.45,C
0,53.49,30.00%,0.16%,8.90,1.00,32.64,"12,448.75",1,21.00,21.02,3.50,CUB
0,37.40,199.00%,7.13%,14.97,10.00,15.10,"173,217.75",1,18.60,18.64,7.46,CI11
0,82.96,0.00%,-%,-,10.00,49.47,"6,454.80",1,-,-,3.68,CDE
0,71.59,1000.00%,0.82%,24.76,1.00,66.23,"33,145.53",1,39.94,49.22,17.02,CPI
0,332.59,171.00%,1.35%,43.04,10.00,25.25,"30,762.05",1,21.34,29.33,3.80,CCI
0,118.72,500.00%,1.19%,22.55,1.00,14.80,"12,300.39",1,16.26,18.65,3.54,CI45
0,61.14,0.00%,-%,-,2.00,12.43,"5,004.97",1,-,-,0.49,CB
0,171.74,20.00%,0.47%,9.97,5.00,21.95,"3,773.19",1,18.23,21.43,1.24,CK
0,113.04,2800.00%,1.58%,33.16,1.00,51.31,"12,739.27",1,47.78,53.50,15.69,CRI
0,160.56,700.00%,2.03%,25.56,2.00,25.13,"19,072.75",1,23.78,26.92,4.29,CI02
0,202.30,210.00%,1.44%,35.59,5.00,21.82,"8,219.09",1,18.16,20.45,3.60,IE07
0,26.78,225.00%,0.59%,6.07,1.00,66.23,"67,718.58",1,57.65,63.16,14.32,DI
0,166.20,0.00%,-%,8.87,2.00,90.80,"22,669.90",1,268.23,286.67,15.30,DBE
0,86.88,40.00%,1.51%,17.63,10.00,15.58,"4,865.32",1,11.68,14.99,3.04,C13
0,82.92,7.50%,0.42%,7.96,10.00,32.64,"5,522.34",1,18.49,22.51,2.16,DCB01
0,198.77,290.00%,1.90%,42.39,2.00,22.07,"4,968.31",1,6.01,7.22,1.54,DCM02
0,208.90,60.00%,2.09%,12.16,10.00,14.80,"2,528.84",1,16.03,23.58,1.37,DFP
0,39.69,35.00%,0.14%,3.91,1.00,39.36,"6,579.94",1,55.25,62.88,6.19,DC11
0,47.48,0.00%,-%,-,10.00,35.36,"1,724.79",1,16.47,-,1.86,DN02
0,40.74,0.00%,-%,-,10.00,12.43,"3,783.90",1,-,-,0.41,DB
0,280.42,55.00%,0.88%,37.37,10.00,23.49,"19,622.50",1,16.36,16.74,2.23,DHF
0,131.63,30.00%,0.10%,25.71,2.00,39.10,"2,953.53",1,21.04,23.41,4.57,DA01
0,180.83,10.00%,0.12%,45.35,10.00,30.60,"11,391.55",1,12.72,18.37,4.61,DB04
0,2.09,0.00%,-%,-,1.00,35.36,"13,432.07",1,-,-,34.90,DTV
