,LINK,company_code,company_category,company_name,BOOK_VALUE_RS,DIV_PERCENT,DIV_YIELD_PERCENT,EPS_TTM,FACE_VALUE,INDUSTRY_P_BY_E,MARKETCAP_RS_CR,MARKET_LOT,P_BY_C,P_BY_E,PRICE_BY_BOOK,sector,count_comp_cat
158,http://www.moneycontrol.com/india/stockpricequote/tyres/ceat/C07,C07,tyres,ceat,639.03,115.0,0.86,69.09,10.0,27.04,5404.33,1,12.25,19.34,2.09,TYRES,6
392,http://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/gepowerindia/AP29,AP29,powertransmissionequipment,gepowerindia,127.48,30.0,0.36,3.95,10.0,14.41,5581.22,1,72.13,210.18,6.51,POWER - TRANSMISSION & EQUIPMENT,4
373,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/kpittechnologies/KPI02,KPI02,computerssoftwaremediumsmall,kpittechnologies,78.67,110.0,0.78,8.99,2.0,21.82,5583.29,1,22.33,31.45,3.59,COMPUTERS - SOFTWARE MEDIUM & SMALL,7
381,http://www.moneycontrol.com/india/stockpricequote/hotels/westlifedevelopment/DIC,DIC,hotels,westlifedevelopment,30.79,0.0,,0.11,2.0,69.32,5753.63,1,3361.82,3361.82,12.01,HOTELS,4
271,http://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/bluestar/BS,BS,consumergoodswhitegoods,bluestar,95.45,375.0,1.16,14.76,2.0,20.53,6239.23,1,30.81,43.96,6.8,CONSUMER GOODS - WHITE GOODS,4
185,http://www.moneycontrol.com/india/stockpricequote/plastics/vipindustries/VIP,VIP,plastics,vipindustries,36.63,120.0,0.54,8.39,2.0,37.42,6303.46,1,48.7,53.16,12.18,PLASTICS,5
394,http://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/kalpatarupowertransmission/KPT,KPT,powertransmissionequipment,kalpatarupowertransmission,182.48,100.0,0.47,20.98,2.0,14.41,6547.4,1,16.43,20.34,2.34,POWER - TRANSMISSION & EQUIPMENT,4
355,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/pvr/PVR,PVR,mediaentertainment,pvr,229.87,20.0,0.14,25.98,10.0,35.36,6572.61,1,25.03,54.13,6.12,MEDIA & ENTERTAINMENT,11
130,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/spicejet/SJ01,SJ01,transportlogistics,spicejet,-0.71,0.0,,9.45,10.0,19.25,6674.88,1,8.37,11.78,,TRANSPORT & LOGISTICS,6
335,http://www.moneycontrol.com/india/stockpricequote/fertilisers/chambalfertiliserschemicals/CFC,CFC,fertilisers,chambalfertiliserschemicals,72.45,19.0,1.18,11.54,10.0,14.8,6719.68,1,12.37,13.99,2.23,FERTILISERS,6
272,http://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/johnsoncontrolshitachiairconditioningindia/HHL,HHL,consumergoodswhitegoods,johnsoncontrolshitachiairconditioningindia,198.28,15.0,0.06,36.83,10.0,20.53,7149.03,1,46.7,71.39,13.26,CONSUMER GOODS - WHITE GOODS,4
407,http://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/idfc/IDF,IDF,financetermlendinginstitutions,idfc,61.38,0.0,,0.93,10.0,5.8,7957.83,1,51.93,53.6,0.81,FINANCE - TERM LENDING INSTITUTIONS,4
125,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/aegislogistics/AL9,AL9,transportlogistics,aegislogistics,16.74,105.0,0.42,3.02,1.0,44.24,8415.13,1,70.77,83.43,15.05,TRANSPORT & LOGISTICS,6
134,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/akzonobelindia/ICI,ICI,paintsvarnishes,akzonobelindia,301.8,220.0,1.16,85.84,10.0,57.09,8821.83,1,19.23,22.03,6.26,PAINTS & VARNISHES,4
358,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/tv18broadcast/IBN,IBN,mediaentertainment,tv18broadcast,22.13,0.0,,0.56,2.0,35.36,9874.71,1,85.97,102.86,2.6,MEDIA & ENTERTAINMENT,11
2,http://www.moneycontrol.com/india/stockpricequote/diversified/centurytextilesindustries/CTI,CTI,diversified,centurytextilesindustries,255.47,55.0,0.6,33.27,10.0,22.07,10211.78,1,14.9,27.48,3.58,DIVERSIFIED,7
368,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/prestigeestatesprojects/PEP02,PEP02,constructioncontractingrealestate,prestigeestatesprojects,132.66,12.0,0.44,6.19,10.0,30.6,10325.63,1,35.9,44.48,2.08,CONSTRUCTION & CONTRACTING - REAL ESTATE,11
35,http://www.moneycontrol.com/india/stockpricequote/chemicals/solarindustriesindia/SII04,SII04,chemicals,solarindustriesindia,87.62,250.0,0.42,14.84,2.0,73.28,10776.01,1,67.2,80.25,13.59,CHEMICALS,13
124,http://www.moneycontrol.com/india/stockpricequote/retail/trent/T04,T04,retail,trent,49.88,100.0,0.31,3.51,1.0,71.87,10801.96,1,68.14,92.61,6.52,RETAIL,6
119,http://www.moneycontrol.com/india/stockpricequote/retail/adityabirlafashionretail/PFR,PFR,retail,adityabirlafashionretail,12.43,0.0,,1.53,10.0,71.87,10923.73,1,27.38,92.52,11.39,RETAIL,6
308,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/crisil/CRI,CRI,miscellaneous,crisil,113.04,2800.0,1.58,33.16,1.0,51.31,12739.27,1,47.78,53.5,15.69,MISCELLANEOUS,20
248,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/cesc/CES,CES,powergenerationdistribution,cesc,1070.79,100.0,1.01,65.71,10.0,11.73,13162.91,1,10.09,15.11,0.93,POWER - GENERATION & DISTRIBUTION,10
143,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/wabcoindia/WAB,WAB,autoancillaries,wabcoindia,811.52,140.0,0.1,143.84,5.0,64.25,13920.31,1,41.61,51.02,9.04,AUTO ANCILLARIES,6
293,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/varunbeverages/VB05,VB05,foodprocessing,varunbeverages,125.77,25.0,0.32,13.27,10.0,51.97,14163.59,1,27.45,58.45,6.17,FOOD PROCESSING,11
313,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/infoedgeindia/IEI01,IEI01,miscellaneous,infoedgeindia,177.69,45.0,0.36,14.96,10.0,39.36,15231.6,1,74.68,83.51,7.03,MISCELLANEOUS,20
156,http://www.moneycontrol.com/india/stockpricequote/tyres/apollotyres/AT14,AT14,tyres,apollotyres,104.18,300.0,1.11,10.88,1.0,27.04,15405.31,1,15.61,24.75,2.58,TYRES,6
259,http://www.moneycontrol.com/india/stockpricequote/financegeneral/bharatfinancialinclusion/SM11,SM11,financegeneral,bharatfinancialinclusion,175.61,0.0,,32.67,10.0,36.62,16619.1,1,35.46,36.49,6.79,FINANCE - GENERAL,8
364,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/oberoirealty/OR,OR,constructioncontractingrealestate,oberoirealty,131.39,20.0,0.4,12.28,10.0,30.6,17192.36,1,37.64,41.23,3.85,CONSTRUCTION & CONTRACTING - REAL ESTATE,11
6,http://www.moneycontrol.com/india/stockpricequote/diversified/voltas/V,V,diversified,voltas,105.36,350.0,0.67,15.15,1.0,22.07,17220.9,1,33.09,34.35,4.94,DIVERSIFIED,7
204,http://www.moneycontrol.com/india/stockpricequote/auto23wheelers/endurancetechnologies/ET01,ET01,auto23wheelers,endurancetechnologies,130.43,25.0,0.2,19.31,10.0,39.04,17876.14,1,40.51,65.81,9.74,AUTO - 2 & 3 WHEELERS,4
36,http://www.moneycontrol.com/india/stockpricequote/chemicals/tatachemicals/TC,TC,chemicals,tatachemicals,416.96,110.0,1.49,69.36,10.0,9.86,18794.64,1,9.93,10.64,1.77,CHEMICALS,13
140,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/exideindustries/EI,EI,autoancillaries,exideindustries,66.26,240.0,0.96,7.86,1.0,30.46,21309.5,1,23.3,31.9,3.78,AUTO ANCILLARIES,6
264,http://www.moneycontrol.com/india/stockpricequote/financegeneral/iiflholdings/II15,II15,financegeneral,iiflholdings,47.01,225.0,0.62,6.41,2.0,36.62,23067.86,1,112.62,112.8,15.38,FINANCE - GENERAL,8
297,http://www.moneycontrol.com/india/stockpricequote/financehousing/gruhfinance/GRU,GRU,financehousing,gruhfinance,18.88,165.0,1.02,4.96,2.0,23.49,23592.6,1,64.51,65.03,17.08,FINANCE - HOUSING,9
100,http://www.moneycontrol.com/india/stockpricequote/cementmajor/acc/ACC06,ACC06,cementmajor,acc,498.72,260.0,1.99,50.54,10.0,36.29,24476.19,1,15.4,25.79,2.61,CEMENT - MAJOR,15
300,http://www.moneycontrol.com/india/stockpricequote/financehousing/lichousingfinance/LIC,LIC,financehousing,lichousingfinance,258.92,310.0,1.25,39.42,2.0,23.49,25028.76,1,12.52,12.58,1.92,FINANCE - HOUSING,9
44,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/oilindia/OI13,OI13,oildrillingandexploration,oilindia,255.93,95.0,4.29,23.51,10.0,11.73,25104.07,1,6.37,9.41,0.86,OIL DRILLING AND EXPLORATION,8
221,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/cholamandalaminvestmentfinancecompany/CDB,CDB,financeleasinghirepurchase,cholamandalaminvestmentfinancecompany,338.17,55.0,0.34,62.31,10.0,36.62,25254.92,1,24.67,25.93,4.78,FINANCE - LEASING & HIRE PURCHASE,8
285,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/glaxosmithklineconsumerhealthcare/GSC04,GSC04,foodprocessing,glaxosmithklineconsumerhealthcare,908.98,700.0,1.13,166.47,10.0,64.74,25968.45,1,33.97,37.09,6.79,FOOD PROCESSING,11
230,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/indiabullsventures/IS13,IS13,financeinvestments,indiabullsventures,42.13,50.0,0.21,0.96,2.0,36.62,26468.08,1,492.58,507.97,11.57,FINANCE - INVESTMENTS,9
249,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/nhpc/N07,N07,powergenerationdistribution,nhpc,28.95,18.0,6.96,2.69,10.0,11.73,26520.34,1,6.37,9.61,0.89,POWER - GENERATION & DISTRIBUTION,10
137,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/kansainerolacpaints/KNP,KNP,paintsvarnishes,kansainerolacpaints,57.99,260.0,0.52,9.58,1.0,57.09,27002.57,1,45.59,52.3,8.64,PAINTS & VARNISHES,4
50,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/bharatheavyelectricals/BHE,BHE,infrastructuregeneral,bharatheavyelectricals,87.96,79.0,2.1,2.2,2.0,23.24,27608.93,1,17.33,34.18,0.85,INFRASTRUCTURE - GENERAL,16
206,http://www.moneycontrol.com/india/stockpricequote/auto23wheelers/tvsmotorcompany/TVS,TVS,auto23wheelers,tvsmotorcompany,64.64,250.0,0.43,13.95,1.0,22.15,27638.19,1,27.6,41.7,9.0,AUTO - 2 & 3 WHEELERS,4
222,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/mahindramahindrafinancialservices/MMF04,MMF04,financeleasinghirepurchase,mahindramahindrafinancialservices,119.46,120.0,0.51,14.44,2.0,36.62,29331.48,1,31.34,32.88,3.97,FINANCE - LEASING & HIRE PURCHASE,8
46,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/petronetlng/PLN,PLN,oildrillingandexploration,petronetlng,53.88,25.0,1.18,13.85,10.0,15.5,31770.0,1,12.76,15.29,3.93,OIL DRILLING AND EXPLORATION,8
232,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/ltfinanceholdings/LFH,LFH,financeinvestments,ltfinanceholdings,38.17,8.0,0.48,1.84,10.0,36.62,32989.83,1,89.84,89.84,4.33,FINANCE - INVESTMENTS,9
58,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/siemens/S,S,infrastructuregeneral,siemens,216.35,350.0,0.7,33.61,2.0,37.67,35526.56,1,25.49,29.68,4.61,INFRASTRUCTURE - GENERAL,16
344,http://www.moneycontrol.com/india/stockpricequote/miningminerals/nmdc/NMD02,NMD02,miningminerals,nmdc,83.2,515.0,4.56,12.03,1.0,15.1,35751.96,1,8.8,9.39,1.36,MINING & MINERALS,5
101,http://www.moneycontrol.com/india/stockpricequote/cementmajor/ambujacements/AC18,AC18,cementmajor,ambujacements,102.35,140.0,1.37,6.42,2.0,36.29,40685.87,1,22.01,31.92,2.0,CEMENT - MAJOR,15
72,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cadilahealthcare/CHC,CHC,pharmaceuticals,cadilahealthcare,75.3,320.0,0.8,10.66,1.0,29.05,40796.14,1,29.47,37.38,5.29,PHARMACEUTICALS,37
87,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/lupin/L,L,pharmaceuticals,lupin,326.92,375.0,0.82,29.74,2.0,29.05,41159.46,1,23.73,30.61,2.78,PHARMACEUTICALS,37
216,http://www.moneycontrol.com/india/stockpricequote/personalcare/marico/M13,M13,personalcare,marico,28.22,350.0,1.03,5.56,1.0,66.23,43657.03,1,55.63,60.83,11.98,PERSONAL CARE,11
278,http://www.moneycontrol.com/india/stockpricequote/refineries/hindustanpetroleumcorporation/HPC,HPC,refineries,hindustanpetroleumcorporation,120.46,300.0,9.8,41.72,10.0,8.41,46659.45,1,5.12,7.34,2.54,REFINERIES,7
209,http://www.moneycontrol.com/india/stockpricequote/personalcare/daburindia/DI,DI,personalcare,daburindia,26.78,225.0,0.59,6.07,1.0,66.23,67718.58,1,57.65,63.16,14.32,PERSONAL CARE,11
276,http://www.moneycontrol.com/india/stockpricequote/refineries/bharatpetroleumcorporation/BPC,BPC,refineries,bharatpetroleumcorporation,137.83,310.0,7.53,36.51,10.0,8.41,89340.67,1,8.45,11.28,2.99,REFINERIES,7
24,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/wipro/W,W,computerssoftware,wipro,95.95,200.0,1.5,15.87,2.0,21.82,129893.95,1,14.87,16.81,2.78,COMPUTERS - SOFTWARE,19
9,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/hcltechnologies/HCL02,HCL02,computerssoftware,hcltechnologies,186.49,600.0,1.27,52.87,2.0,21.82,131914.73,1,15.98,17.92,5.08,COMPUTERS - SOFTWARE,19
189,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/axisbank/AB16,AB16,banksprivatesector,axisbank,217.29,0.0,,1.07,2.0,32.64,135585.38,1,160.49,493.46,2.43,BANKS - PRIVATE SECTOR,14
194,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/icicibank/ICI02,ICI02,banksprivatesector,icicibank,150.7,125.0,0.89,10.54,2.0,32.64,181540.06,1,26.78,26.78,1.87,BANKS - PRIVATE SECTOR,14
