company_code,company_category,company_name,BOOK_VALUE_RS,DIV_PERCENT,DIV_YIELD_PERCENT,EPS_TTM,FACE_VALUE,INDUSTRY_P_BY_E,MARKETCAP_RS_CR,MARKET_LOT,P_BY_C,P_BY_E,PRICE_BY_BOOK,sector
MLD,constructioncontractingcivil,mahindralifespacedevelopers,331.3,60,1.05,10.35,10,30.6,2936.29,1,51.44,55.27,1.73,CONSTRUCTION & CONTRACTING - CIVIL
NCC01,constructioncontractingcivil,ncc,62.23,20,0.37,4.77,2,30.6,6432.92,1,15.91,22.45,1.72,CONSTRUCTION & CONTRACTING - CIVIL
AMP01,telecommunicationsequipment,astramicrowaveproducts,59.44,50,0.99,7.01,2,29.78,873.48,1,9.96,14.39,1.7,TELECOMMUNICATIONS - EQUIPMENT
BI14,telecommunicationsequipment,bhartiinfratel,100.84,160,5.45,13.05,10,22.48,54341.49,1,15.12,22.51,2.91,TELECOMMUNICATIONS - EQUIPMENT
HFC,telecommunicationsequipment,himachalfuturisticcommunication,9.67,0,,1.25,1,37.77,4120.93,1,24.09,26.6,3.44,TELECOMMUNICATIONS - EQUIPMENT
HA04,telecommunicationsequipment,honeywellautomation,1617.38,100,0.05,282.45,10,37.67,16179.99,1,61.07,64.79,11.31,TELECOMMUNICATIONS - EQUIPMENT
APT02,plastics,astralpolytechnik,69.71,50,0.05,9.94,1,85.68,12368,1,74.66,103.87,14.81,PLASTICS
JIS02,plastics,jainirrigationsystems,92.69,37.5,0.77,5.66,2,17.69,4854.46,1,10.29,17.28,1.06,PLASTICS
NP08,plastics,nilkamal,534.21,130,0.78,78.47,10,37.42,2502.73,1,15.12,21.37,3.14,PLASTICS
SI48,plastics,supremeindustries,154.53,750,1.21,32.24,2,37.42,15789.44,1,27.38,38.55,8.04,PLASTICS
VIP,plastics,vipindustries,36.63,120,0.54,8.39,2,37.42,6303.46,1,48.7,53.16,12.18,PLASTICS
A06,dyespigments,atul,738.73,100,0.37,91.16,10,22.45,8038.33,1,21.42,29.73,3.67,DYES & PIGMENTS
SCI08,dyespigments,sudarshanchemicalindustries,69.84,175,0.77,12.72,2,22.45,3153.3,1,21.57,35.81,6.52,DYES & PIGMENTS
AF21,aquaculture,avantifeeds,217.4,450,0.49,91.37,2,19.94,8333.69,1,19.4,20.08,8.44,AQUACULTURE
AB16,banksprivatesector,axisbank,217.29,0,,1.07,2,32.64,135867.84,1,160.82,494.49,2.43,BANKS - PRIVATE SECTOR
CUB,banksprivatesector,cityunionbank,53.49,30,0.16,8.91,1,32.64,12380.58,1,20.9,20.9,3.48,BANKS - PRIVATE SECTOR
DCB01,banksprivatesector,dcbbank,82.92,7.5,0.42,7.96,10,32.64,5517.72,1,18.47,22.49,2.16,BANKS - PRIVATE SECTOR
FB,banksprivatesector,federalbank,45.47,45,1.07,4.44,2,32.64,16602.16,1,18.91,18.91,1.85,BANKS - PRIVATE SECTOR
HDF01,banksprivatesector,hdfcbank,408.32,650,0.64,67.17,2,32.64,528652.06,1,28.74,30.23,4.97,BANKS - PRIVATE SECTOR
ICI02,banksprivatesector,icicibank,150.7,125,0.89,10.54,2,32.64,181532.18,1,26.78,26.78,1.87,BANKS - PRIVATE SECTOR
IDF01,banksprivatesector,idfcbank,45.65,7.5,1.74,2.52,10,32.64,14654.68,1,14.35,17.08,0.94,BANKS - PRIVATE SECTOR
IIB,banksprivatesector,indusindbank,397.47,60,0.31,60.06,10,32.64,118030.67,1,32.73,32.73,4.95,BANKS - PRIVATE SECTOR
JKB,banksprivatesector,jammukashmirbank,105.64,0,,3.64,1,32.64,3232.56,1,15.95,15.95,0.55,BANKS - PRIVATE SECTOR
KB04,banksprivatesector,karnatakabank,181.91,40,3.39,11.52,10,32.64,3338.74,1,10.25,10.25,0.65,BANKS - PRIVATE SECTOR
KMB,banksprivatesector,kotakmahindrabank,196.65,14,0.05,21.43,5,32.64,255495.82,1,58.23,62.55,6.82,BANKS - PRIVATE SECTOR
RB03,banksprivatesector,rblbank,158.94,18,0.32,15.1,10,32.64,23543.05,1,37.07,37.07,3.52,BANKS - PRIVATE SECTOR
SIB,banksprivatesector,southindianbank,25.43,40,1.66,1.85,1,32.64,4369.94,1,13.05,13.05,0.95,BANKS - PRIVATE SECTOR
YB,banksprivatesector,yesbank,111.74,135,0.82,18.33,2,32.64,76197.23,1,17.1,18.03,2.96,BANKS - PRIVATE SECTOR
BA10,auto23wheelers,bajajauto,729.25,550,1.92,140.59,10,22.15,82967.31,1,18.93,20.39,3.93,AUTO - 2 & 3 WHEELERS
ET01,auto23wheelers,endurancetechnologies,130.43,25,0.2,19.31,10,39.04,17934.51,1,40.64,66.03,9.78,AUTO - 2 & 3 WHEELERS
HHM,auto23wheelers,heromotocorp,691.43,4250,2.3,185.14,2,22.15,73676.55,1,17.32,19.93,5.34,AUTO - 2 & 3 WHEELERS
TVS,auto23wheelers,tvsmotorcompany,64.64,250,0.43,13.95,1,22.15,27638.19,1,27.6,41.7,9,AUTO - 2 & 3 WHEELERS
BC02,personalcare,bajajcorp,48.68,1150,2.7,14.66,1,66.23,6288.66,1,28.18,29.08,8.76,PERSONAL CARE
CPI,personalcare,colgatepalmoliveindia,71.59,1000,0.82,24.76,1,66.23,33179.53,1,39.98,49.27,17.04,PERSONAL CARE
DI,personalcare,daburindia,26.78,225,0.58,6.07,1,66.23,68213.13,1,58.08,63.62,14.42,PERSONAL CARE
E06,personalcare,emami,89.09,700,0.63,13.64,1,66.23,25071.98,1,40.78,80.99,12.4,PERSONAL CARE
GI22,personalcare,gilletteindia,153.63,1640,2.51,71.23,10,66.23,21310.73,1,78.8,91.82,42.57,PERSONAL CARE
GCP,personalcare,godrejconsumerproducts,64.55,1500,1.3,14.68,1,66.23,78693.56,1,74.04,78.68,17.89,PERSONAL CARE
GI23,personalcare,godrejindustries,55.22,175,0.29,7.18,1,66.23,20640.42,1,66.57,85.49,11.12,PERSONAL CARE
HU,personalcare,hindustanunilever,32.69,2000,1.23,24.19,1,66.23,351751.56,1,61.55,67.18,49.71,PERSONAL CARE
JL,personalcare,jyothylaboratories,44.79,600,1.33,8.83,1,66.23,8219.82,1,37.87,51.21,10.09,PERSONAL CARE
M13,personalcare,marico,28.22,350,1.03,5.56,1,66.23,43657.03,1,55.63,60.83,11.98,PERSONAL CARE
PGH,personalcare,proctergamblehygienehealthcare,162.08,3890,3.99,125.71,10,66.23,31616.76,1,67.58,77.48,60.09,PERSONAL CARE
BE,domesticappliances,bajajelectricals,93.62,140,0.52,8.2,2,48.93,5471.76,1,46.55,65.4,5.73,DOMESTIC APPLIANCES
TTK02,domesticappliances,ttkprestige,962.42,270,0.46,222.38,10,48.93,6710.13,1,23.79,26.12,6.04,DOMESTIC APPLIANCES
BAF,financeleasinghirepurchase,bajajfinance,212.01,180,0.16,45.79,2,36.62,131808.58,1,47.95,49.8,10.76,FINANCE - LEASING & HIRE PURCHASE
CDB,financeleasinghirepurchase,cholamandalaminvestmentfinancecompany,338.17,55,0.34,62.31,10,36.62,25247.89,1,24.66,25.92,4.78,FINANCE - LEASING & HIRE PURCHASE
MMF04,financeleasinghirepurchase,mahindramahindrafinancialservices,119.46,120,0.51,14.44,2,36.62,29241.9,1,31.24,32.78,3.96,FINANCE - LEASING & HIRE PURCHASE
MF20,financeleasinghirepurchase,magmafincorp,83.44,40,0.47,7.52,2,36.62,4575.18,1,18.19,22.59,2.04,FINANCE - LEASING & HIRE PURCHASE
MGF01,financeleasinghirepurchase,manappuramfinance,47.61,100,1.94,8.31,2,36.62,8690.77,1,11.42,12.41,2.17,FINANCE - LEASING & HIRE PURCHASE
SCU,financeleasinghirepurchase,shriramcityunionfinance,762.27,150,0.65,100.77,10,36.62,15244.6,1,21.84,22.93,3.03,FINANCE - LEASING & HIRE PURCHASE
STF,financeleasinghirepurchase,shriramtransportfinancecorporation,567.26,100,0.68,69.11,10,36.62,33167.99,1,20.68,21.15,2.58,FINANCE - LEASING & HIRE PURCHASE
SRE02,financeleasinghirepurchase,sreiinfrastructurefinance,59.4,5,0.67,2.45,10,36.62,3732.9,1,21.14,30.29,1.25,FINANCE - LEASING & HIRE PURCHASE
BF04,financeinvestments,bajajfinserv,182.7,35,0.03,8.88,5,36.62,94901.01,1,664.83,671.57,32.64,FINANCE - INVESTMENTS
BHI,financeinvestments,bajajholdingsinvestment,777.2,325,1.09,118.03,10,36.62,33100.92,1,25.1,25.2,3.83,FINANCE - INVESTMENTS
IS13,financeinvestments,indiabullsventures,42.13,50,0.2,0.96,2,36.62,26649.91,1,495.96,511.46,11.65,FINANCE - INVESTMENTS
JMF,financeinvestments,jmfinancial,20.63,150,1.15,1.62,1,36.62,10924.13,1,79.42,80.4,6.31,FINANCE - INVESTMENTS
LFH,financeinvestments,ltfinanceholdings,38.17,8,0.48,1.84,10,36.62,32989.83,1,89.84,89.84,4.33,FINANCE - INVESTMENTS
MI,financeinvestments,maxfinancialservices,68.12,0,,4.58,2,36.62,12606.15,1,100.78,102.54,6.89,FINANCE - INVESTMENTS
MF10,financeinvestments,muthootfinance,205.89,60,1.55,43,10,36.62,15483.54,1,8.78,9,1.88,FINANCE - INVESTMENTS
RC,financeinvestments,reliancecapital,574.93,105,2.5,33,10,36.62,10624.97,1,12.43,12.74,0.73,FINANCE - INVESTMENTS
TIC,financeinvestments,tatainvestmentcorporation,486.81,180,1.98,43.1,10,36.62,5003.2,1,21.05,21.07,1.87,FINANCE - INVESTMENTS
BCM,sugar,balrampurchinimills,77.12,350,4.73,9.68,1,10.33,1690.37,1,5.34,7.64,0.96,SUGAR
EID,sugar,eidparryindia,89.19,400,1.79,5.71,1,10.33,3948.76,1,18.45,39.07,2.5,SUGAR
BI01,leatherproducts,bataindia,120.51,70,0.45,17.4,5,40.15,10038,1,35.34,44.89,6.48,LEATHER PRODUCTS
RF07,leatherproducts,relaxofootwears,63.64,100,0.15,13.38,1,40.15,8256.26,1,38.32,51.27,10.78,LEATHER PRODUCTS
BC12,pesticidesagrochemicals,bayercropscience,686.13,170,0.36,87.41,10,39.1,16222.62,1,48.69,54.06,6.89,PESTICIDES & AGRO CHEMICALS
DA01,pesticidesagrochemicals,dhanukaagritech,131.63,30,0.1,25.71,2,39.1,2947.15,1,21,23.36,4.56,PESTICIDES & AGRO CHEMICALS
MI39,pesticidesagrochemicals,monsantoindia,402.13,300,1.05,95.33,10,39.1,4945.78,1,27.85,30.05,7.12,PESTICIDES & AGRO CHEMICALS
PII,pesticidesagrochemicals,piindustries,143.24,400,0.51,26.58,1,39.1,10908.47,1,24.29,29.76,5.52,PESTICIDES & AGRO CHEMICALS
RI03,pesticidesagrochemicals,rallisindia,60.62,250,1.23,7.28,1,39.1,3945.77,1,21.68,27.87,3.35,PESTICIDES & AGRO CHEMICALS
SC04,pesticidesagrochemicals,shardacropchem,120.06,40,1.02,21.43,10,39.1,3550.18,1,13.49,18.36,3.28,PESTICIDES & AGRO CHEMICALS
BFU,powergenerationdistribution,bfutilities,26.7,0,,4.2,5,11.73,1337.95,1,68.05,84.57,13.3,POWER - GENERATION & DISTRIBUTION
CES,powergenerationdistribution,cesc,1070.79,100,1.01,65.71,10,11.73,13162.91,1,10.09,15.11,0.93,POWER - GENERATION & DISTRIBUTION
N07,powergenerationdistribution,nhpc,28.95,18,6.96,2.69,10,11.73,26520.34,1,6.37,9.61,0.89,POWER - GENERATION & DISTRIBUTION
NLC,powergenerationdistribution,nlcindia,91.9,73.4,8.76,12.09,10,11.73,12809.4,1,4.73,6.93,0.91,POWER - GENERATION & DISTRIBUTION
NTP,powergenerationdistribution,ntpc,129.25,47.8,3.06,12.54,10,11.73,128670.47,1,7.38,12.44,1.21,POWER - GENERATION & DISTRIBUTION
PGC,powergenerationdistribution,powergridcorporationindia,110.95,10,0.5,15.75,10,14.41,103847.05,1,5.99,12.6,1.79,POWER - GENERATION & DISTRIBUTION
RI38,powergenerationdistribution,relianceinfrastructure,861.61,90,2.09,63.29,10,11.73,11334.87,1,4.44,6.81,0.5,POWER - GENERATION & DISTRIBUTION
RP,powergenerationdistribution,reliancepower,59.91,0,,0.01,10,11.73,9705.74,1,576.67,3460,0.58,POWER - GENERATION & DISTRIBUTION
S11,powergenerationdistribution,sjvn,31.81,27.5,9.17,3.12,10,11.73,11789.39,1,7.43,9.62,0.94,POWER - GENERATION & DISTRIBUTION
TP14,powergenerationdistribution,torrentpower,162.42,22,0.87,19.18,10,11.73,12169.22,1,5.99,13.2,1.56,POWER - GENERATION & DISTRIBUTION
BE03,electricals,bharatelectronics,30.56,225,1.93,5.7,1,20.88,28623.94,1,17.34,20.44,3.81,ELECTRICALS
CGC01,electricals,cromptongreavesconsumerelectrical,13.77,0,,5.17,2,47.97,13977.88,1,41.53,43.13,16.19,ELECTRICALS
SM11,financegeneral,bharatfinancialinclusion,175.61,0,,32.67,10,36.62,16646.29,1,35.52,36.55,6.8,FINANCE - GENERAL
FCH,financegeneral,capitalfirst,257.66,28,0.48,33.04,10,36.62,5750.03,1,16.2,17.58,2.25,FINANCE - GENERAL
EC01,financegeneral,edelweissfinancialservices,18.8,130,0.41,1.56,1,36.62,28964.29,1,197.44,202.5,16.8,FINANCE - GENERAL
EH03,financegeneral,equitasholdings,49.41,0,,0.16,10,36.62,5144.05,1,838.89,943.75,3.06,FINANCE - GENERAL
IPL01,financegeneral,iciciprudentiallifeinsurancecompany,47.81,78,1.95,11.28,10,57.66,57501.16,1,35.51,35.51,8.38,FINANCE - GENERAL
II15,financegeneral,iiflholdings,47.01,225,0.62,6.41,2,36.62,23067.86,1,112.62,112.8,15.38,FINANCE - GENERAL
MOF01,financegeneral,motilaloswalfinancialservices,55.07,250,0.29,8.94,1,36.62,12591.08,1,92.42,97.07,15.76,FINANCE - GENERAL
UFS01,financegeneral,ujjivanfinancialservices,145.06,5,0.13,0.03,10,36.62,4709.37,1,9733.75,12978.33,2.68,FINANCE - GENERAL
BA08,telecommunicationsservice,bhartiairtel,253.38,20,0.27,0.2,5,341.93,150342.22,1,11.45,1880.5,1.48,TELECOMMUNICATIONS - SERVICE
TC17,telecommunicationsservice,tatacommunications,334.1,60,0.98,9.36,10,341.93,17375.03,1,15.84,65.13,1.82,TELECOMMUNICATIONS - SERVICE
BDE,couriers,bluedartexpress,279.75,150,0.41,59.89,10,52.73,8622.73,1,46.09,60.68,12.99,COURIERS
G04,couriers,gati,58.33,40,0.89,3.18,2,52.73,971.76,1,24.68,28.18,1.54,COURIERS
BS,consumergoodswhitegoods,bluestar,95.45,375,1.16,14.76,2,20.53,6211.83,1,30.67,43.77,6.77,CONSUMER GOODS - WHITE GOODS
HHL,consumergoodswhitegoods,johnsoncontrolshitachiairconditioningindia,198.28,15,0.06,36.83,10,20.53,7205.58,1,47.07,71.95,13.36,CONSUMER GOODS - WHITE GOODS
SCS04,consumergoodswhitegoods,symphony,91.61,225,0.33,26.15,2,48.93,9619.79,1,51.37,52.59,15.01,CONSUMER GOODS - WHITE GOODS
WI,consumergoodswhitegoods,whirlpoolindia,144.53,30,0.19,27.64,10,48.93,19660.06,1,43.48,56.06,10.72,CONSUMER GOODS - WHITE GOODS
BDM,textilesprocessing,bombaydyeingmanufacturingcompany,21.2,35,0.32,1.67,2,50.95,4583.01,1,71.35,132.87,10.47,TEXTILES - PROCESSING
BPC,refineries,bharatpetroleumcorporation,137.83,310,7.55,36.51,10,8.41,89047.83,1,8.43,11.24,2.98,REFINERIES
CPC02,refineries,chennaipetroleumcorporation,283.84,210,7.04,61.31,10,8.41,4445.01,1,3.55,4.87,1.05,REFINERIES
HPC,refineries,hindustanpetroleumcorporation,120.46,300,9.8,41.72,10,8.41,46659.45,1,5.12,7.34,2.54,REFINERIES
IOC,refineries,indianoilcorporation,102.81,190,11.3,21.98,10,8.41,163255.52,1,5.75,7.65,1.64,REFINERIES
MG02,refineries,mahanagargas,234.66,190,2.29,48.38,10,26.07,8195.59,1,13.91,17.15,3.54,REFINERIES
MRP,refineries,mangalorerefinerypetrochemicals,70.15,0,,12.69,10,8.41,15694.52,1,5.42,7.06,1.28,REFINERIES
RI,refineries,relianceindustries,496.59,60,0.59,53.05,10,22.07,642363.07,1,14.87,19.11,2.04,REFINERIES
BI,foodprocessing,britanniaindustries,294.01,1100,0.36,78.95,2,64.74,73248.09,1,68.6,77.28,20.75,FOOD PROCESSING
FVI,foodprocessing,futureconsumer,6.78,0,,0.17,6,39.36,10295.35,1,179.33,316.47,7.94,FOOD PROCESSING
GSC04,foodprocessing,glaxosmithklineconsumerhealthcare,908.98,700,1.14,166.47,10,64.74,25741.14,1,33.67,36.77,6.73,FOOD PROCESSING
HAP,foodprocessing,hatsunagroproducts,59.73,400,0.57,5.62,1,64.74,11383,1,43.03,125.28,11.79,FOOD PROCESSING
HFI,foodprocessing,heritagefoods,78.42,40,0.29,11.22,5,64.74,3210.74,1,36.06,61.68,8.82,FOOD PROCESSING
KRB01,foodprocessing,krbl,99.13,210,0.41,19.62,1,26.9,11997.82,1,22.66,25.98,5.14,FOOD PROCESSING
KDI01,foodprocessing,kwality,44.33,10,0.34,2.95,1,64.74,707.17,1,3.6,9.93,0.66,FOOD PROCESSING
MB04,foodprocessing,manpasandbeverages,100.78,10,0.63,7.7,10,51.97,1809.65,1,11.17,20.53,1.57,FOOD PROCESSING
NI,foodprocessing,nestleindia,354.77,860,0.88,139.24,10,64.74,94294.57,1,55.97,70.24,27.57,FOOD PROCESSING
PMF01,foodprocessing,paragmilkfoods,88.52,5,0.14,9.33,10,64.74,2909.52,1,22.86,37.07,3.91,FOOD PROCESSING
VB05,foodprocessing,varunbeverages,125.77,25,0.32,13.27,10,51.97,14163.59,1,27.45,58.45,6.17,FOOD PROCESSING
CFH,financehousing,canfinhomes,80.83,100,0.56,22.66,2,23.49,4721.06,1,15.49,15.65,4.39,FINANCE - HOUSING
DHF,financehousing,dewanhousingfinancecorporation,280.42,55,0.88,37.37,10,23.49,19622.5,1,16.36,16.74,2.23,FINANCE - HOUSING
GIC,financehousing,gichousingfinance,189.9,50,1.3,34.25,10,23.49,2070.3,1,11.19,11.22,2.02,FINANCE - HOUSING
GRU,financehousing,gruhfinance,18.88,165,1.02,4.96,2,23.49,23552.37,1,64.4,64.92,17.06,FINANCE - HOUSING
HDF,financehousing,housingdevelopmentfinancecorporation,235.77,900,0.98,72.45,2,23.49,307755.97,1,25.18,25.28,7.77,FINANCE - HOUSING
IHF01,financehousing,indiabullshousingfinance,361.84,1350,2.27,83.61,2,36.62,50822.14,1,14.14,14.25,3.29,FINANCE - HOUSING
LIC,financehousing,lichousingfinance,258.92,310,1.25,39.42,2,23.49,25028.76,1,12.52,12.58,1.92,FINANCE - HOUSING
PHF,financehousing,pnbhousingfinance,382.8,60,0.55,49.61,10,23.49,18329.05,1,21.44,22.07,2.86,FINANCE - HOUSING
RHF,financehousing,repcohomefinance,214.73,20,0.36,32.95,10,23.49,3502.19,1,16.74,16.99,2.61,FINANCE - HOUSING
CU,abrasives,carborundumuniversal,63.41,175,0.53,7.59,1,41.14,6204.48,1,28.54,43.25,5.18,ABRASIVES
GN,abrasives,grindwellnorton,93.18,80,0.77,13.29,5,41.14,5779.58,1,30.53,39.28,5.6,ABRASIVES
CAR,miscellaneous,creditanalysisresearch,224.04,280,2.06,54.66,10,51.31,4006.73,1,24.43,24.88,6.07,MISCELLANEOUS
CP9,miscellaneous,centuryplyboards,31.84,100,0.39,7.04,1,39.23,5763.45,1,24.25,36.79,8.13,MISCELLANEOUS
CK,miscellaneous,coxkings,171.74,20,0.47,9.97,5,21.95,3779.37,1,18.26,21.47,1.25,MISCELLANEOUS
CRI,miscellaneous,crisil,113.04,2800,1.59,33.16,1,51.31,12666.75,1,47.51,53.2,15.61,MISCELLANEOUS
GD01,miscellaneous,gatewaydistriparks,74.05,70,3.95,3.5,10,39.36,1925.03,1,30.9,50.59,2.39,MISCELLANEOUS
GI19,miscellaneous,greenplyindustries,75.25,60,0.24,11.07,1,28.52,3054.65,1,16.92,22.5,3.31,MISCELLANEOUS
ICR,miscellaneous,icra,559.34,270,0.81,101.3,10,51.31,3287.89,1,31.93,32.77,5.94,MISCELLANEOUS
IIL03,miscellaneous,infibeamincorporation,12.54,0,,0.15,1,745.23,10088.75,1,190.31,1015,12.14,MISCELLANEOUS
IEI01,miscellaneous,infoedgeindia,177.69,45,0.37,14.96,10,39.36,14873.77,1,72.92,81.55,6.87,MISCELLANEOUS
JF04,miscellaneous,jubilantfoodworks,160.44,25,0.09,31.28,10,64.74,18215.69,1,50.28,88.25,17.21,MISCELLANEOUS
JD,miscellaneous,justdial,155.26,0,,21.25,10,51.31,3827.86,1,21.32,26.73,3.66,MISCELLANEOUS
KSC01,miscellaneous,kaveriseedcompany,186.67,0,,31.83,2,24.93,3724.29,1,15.94,17.7,3.02,MISCELLANEOUS
MIL16,miscellaneous,maxindia,61.26,0,,0.24,2,36.62,2097.41,1,289.44,325.63,1.28,MISCELLANEOUS
MCE,miscellaneous,multicommodityexchangeindia,320.72,150,1.86,20.85,10,17.1,4119.65,1,33.49,38.74,2.52,MISCELLANEOUS
SF14,miscellaneous,sheelafoam,112.12,0,,25.81,5,26.73,7390.6,1,48.08,58.7,13.51,MISCELLANEOUS
SI10,miscellaneous,syngeneinternational,85.91,10,0.17,15.26,10,39.36,11687,1,26.77,38.29,6.8,MISCELLANEOUS
TCI,miscellaneous,thomascookindia,31.32,37.5,0.13,14.35,1,21.95,10301.34,1,18.73,19.38,8.88,MISCELLANEOUS
TII,miscellaneous,tifinancialholdings,51.63,125,0.19,3.16,1,36.62,12082.4,1,203.8,203.8,12.47,MISCELLANEOUS
TI01,miscellaneous,titancompany,61.67,260,0.29,13.1,1,68.71,80033.92,1,62.91,68.82,14.62,MISCELLANEOUS
WH01,miscellaneous,wonderlaholidays,84,10,0.3,6.81,10,21.95,1909.72,1,25.45,49.63,4.02,MISCELLANEOUS
CI01,lubricants,castrolindia,10.31,140,4.11,7.02,5,26.3,16854.65,1,22.78,24.27,16.53,LUBRICANTS
GOL01,lubricants,gulfoillubricantsindia,103.07,425,0.98,31.9,2,26.3,4299.04,1,25.44,27.12,8.39,LUBRICANTS
CC10,plantationsteacoffee,cclproductsindia,48.35,175,1.25,7.35,2,32.14,3724.78,1,34.19,38.1,5.79,PLANTATIONS - TEA & COFFEE
MRI02,plantationsteacoffee,mcleodrusselindia,165.42,5,0.17,6.14,5,32.14,1589.3,1,10.6,23.65,0.88,PLANTATIONS - TEA & COFFEE
TC14,plantationsteacoffee,tatacoffee,49.27,150,1.23,3.36,1,32.14,2279.53,1,26.77,36.32,2.48,PLANTATIONS - TEA & COFFEE
TT,plantationsteacoffee,tataglobalbeverage,66.76,250,0.92,8.47,1,32.14,17217.22,1,30.65,32.21,4.09,PLANTATIONS - TEA & COFFEE
CS18,ceramicsgranite,cerasanitaryware,478.75,240,0.41,77.08,5,25.51,3797.72,1,30.97,37.88,6.1,CERAMICS & GRANITE
HSI02,ceramicsgranite,hsil,210.91,200,1.17,10.34,2,25.51,2478.68,1,13.13,33.16,1.63,CERAMICS & GRANITE
KC06,ceramicsgranite,kajariaceramics,90.09,300,0.57,15.87,1,25.51,8360.79,1,26.62,33.14,5.84,CERAMICS & GRANITE
SC49,ceramicsgranite,somanyceramics,134.72,135,0.49,15.36,2,25.51,2330.87,1,25.3,35.81,4.08,CERAMICS & GRANITE
CFC,fertilisers,chambalfertiliserschemicals,72.45,19,1.18,11.54,10,14.8,6705.11,1,12.34,13.96,2.22,FERTILISERS
CI45,fertilisers,coromandelinternational,118.72,500,1.19,22.55,1,14.8,12275.53,1,16.23,18.62,3.54,FERTILISERS
DFP,fertilisers,deepakfertilizerspetrochemicalscoprn,208.9,60,2.09,12.16,10,14.8,2527.07,1,16.02,23.56,1.37,FERTILISERS
GNV,fertilisers,gujaratnarmadavalleyfertilizerschemicals,295.4,50,1.07,50.8,10,14.8,7281.37,1,6.87,9.22,1.59,FERTILISERS
GSF,fertilisers,gujaratstatefertilizerschemicals,176.95,110,1.93,11.94,2,14.8,4542.64,1,7.64,9.55,0.64,FERTILISERS
RCF01,fertilisers,rashtriyachemicalsfertilisers,54.45,11,1.41,1.43,10,14.8,4303.17,1,19.95,54.55,1.43,FERTILISERS
CI11,miningminerals,coalindia,37.4,199,7.14,14.97,10,15.1,173000.49,1,18.58,18.62,7.45,MINING & MINERALS
GMD,miningminerals,gujaratmineraldevelopmentcorporation,138.68,150,2.41,13.67,2,15.1,3959.1,1,7.25,9.11,0.9,MINING & MINERALS
M18,miningminerals,moil,105.32,110,5.96,15.84,10,15.1,4915.96,1,10.15,11.65,1.75,MINING & MINERALS
NMD02,miningminerals,nmdc,83.2,515,4.56,12.03,1,15.1,35751.96,1,8.8,9.39,1.36,MINING & MINERALS
SG,miningminerals,vedanta,234.11,1945,8.15,19.52,1,15.1,88748.07,1,8.79,12.23,1.02,MINING & MINERALS
CI02,engines,cumminsindia,160.56,700,2.04,25.56,2,25.13,18988.2,1,23.67,26.8,4.27,ENGINES
GC20,engines,greavescotton,46.01,275,4.15,8.3,2,25.13,3238.18,1,12.7,15.98,2.88,ENGINES
KOE03,engines,kirloskaroilengines,122.17,250,1.73,10.38,2,25.13,4179.34,1,16.15,27.84,2.37,ENGINES
C13,mediaentertainment,dbcorp,86.88,40,1.52,17.63,10,15.58,4851.52,1,11.64,14.95,3.03,MEDIA & ENTERTAINMENT
ENI,mediaentertainment,entertainmentnetworkindia,186.66,10,0.15,7.38,10,35.36,3176.99,1,32.21,90.3,3.57,MEDIA & ENTERTAINMENT
EIM,mediaentertainment,erosinternationalmedia,142.12,0,,8.1,10,35.36,1258.74,1,15.14,16.34,0.93,MEDIA & ENTERTAINMENT
HCD,mediaentertainment,hathwaycabledatacom,12.71,0,,0.94,2,35.36,2420.89,1,13.82,31.01,2.29,MEDIA & ENTERTAINMENT
INO01,mediaentertainment,inoxleisure,72.59,0,,11.89,10,35.36,2553.24,1,12.68,22.26,3.65,MEDIA & ENTERTAINMENT
JP12,mediaentertainment,jagranprakashan,62.08,150,2.02,8.54,2,15.58,4616.68,1,13.25,17.36,2.39,MEDIA & ENTERTAINMENT
PVR,mediaentertainment,pvr,229.87,20,0.14,25.98,10,35.36,6572.61,1,25.03,54.13,6.12,MEDIA & ENTERTAINMENT
STN01,mediaentertainment,suntvnetwork,129.79,200,1.1,27.74,5,35.36,35804.56,1,23.36,32.75,7,MEDIA & ENTERTAINMENT
TVT,mediaentertainment,tvtodaynetwork,125.58,40,0.44,19.68,5,35.36,2730.94,1,18.37,23.26,3.65,MEDIA & ENTERTAINMENT
IBN,mediaentertainment,tv18broadcast,22.13,0,,0.56,2,35.36,9874.71,1,85.97,102.86,2.6,MEDIA & ENTERTAINMENT
ZEE,mediaentertainment,zeeentertainmententerprises,46.04,250,0.45,19.89,1,35.36,53296.1,1,26,27.9,12.05,MEDIA & ENTERTAINMENT
DC11,constructioncontractingrealestate,deltacorp,39.69,35,0.14,3.91,1,39.36,6551.83,1,55.01,62.61,6.17,CONSTRUCTION & CONTRACTING - REAL ESTATE
D04,constructioncontractingrealestate,dlf,84.46,100,1,2.05,2,30.6,35646.02,1,71.61,97.46,2.37,CONSTRUCTION & CONTRACTING - REAL ESTATE
GP11,constructioncontractingrealestate,godrejproperties,95.58,0,,9.17,5,30.6,17599.24,1,78.23,83.69,8.03,CONSTRUCTION & CONTRACTING - REAL ESTATE
HDI,constructioncontractingrealestate,housingdevelopmentinfrastructure,263.04,0,,2.2,10,30.6,993.87,1,9.74,10.41,0.09,CONSTRUCTION & CONTRACTING - REAL ESTATE
OR,constructioncontractingrealestate,oberoirealty,131.39,20,0.4,12.28,10,30.6,17173.69,1,37.6,41.18,3.85,CONSTRUCTION & CONTRACTING - REAL ESTATE
