,LINK,company_code,company_category,company_name,BOOK_VALUE_RS,DIV_PERCENT,DIV_YIELD_PERCENT,EPS_TTM,FACE_VALUE,INDUSTRY_P_BY_E,MARKETCAP_RS_CR,MARKET_LOT,P_BY_C,P_BY_E,PRICE_BY_BOOK,sector
25,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/drreddyslaboratories/DRL,DRL,pharmaceuticals,drreddyslaboratories,698.95,400.0,0.85,34.16,5.0,29.05,39021.97,1,29.1,68.83,3.36,PHARMACEUTICALS
26,http://www.moneycontrol.com/india/stockpricequote/auto23wheelers/endurancetechnologies/ET01,ET01,auto23wheelers,endurancetechnologies,130.43,25.0,0.2,19.31,10.0,39.04,17876.14,1,40.51,65.81,9.74,AUTO - 2 & 3 WHEELERS
27,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/exideindustries/EI,EI,autoancillaries,exideindustries,66.26,240.0,0.96,7.86,1.0,30.46,21309.5,1,23.3,31.9,3.78,AUTO ANCILLARIES
28,http://www.moneycontrol.com/india/stockpricequote/retail/futurelifestylefashions/FLF01,FLF01,retail,futurelifestylefashions,93.56,40.0,0.19,5.8,2.0,74.38,8220.85,1,31.64,74.34,4.61,RETAIL
29,http://www.moneycontrol.com/india/stockpricequote/financehousing/gichousingfinance/GIC,GIC,financehousing,gichousingfinance,189.9,50.0,1.3,34.25,10.0,23.49,2072.19,1,11.2,11.24,2.03,FINANCE - HOUSING
30,http://www.moneycontrol.com/india/stockpricequote/personalcare/gilletteindia/GI22,GI22,personalcare,gilletteindia,153.63,1640.0,2.51,71.23,10.0,66.23,21283.03,1,78.69,91.7,42.51,PERSONAL CARE
31,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/glaxosmithklineconsumerhealthcare/GSC04,GSC04,foodprocessing,glaxosmithklineconsumerhealthcare,908.98,700.0,1.13,166.47,10.0,64.74,25968.45,1,33.97,37.09,6.79,FOOD PROCESSING
32,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glaxosmithklinepharmaceuticals/GSK,GSK,pharmaceuticals,glaxosmithklinepharmaceuticals,281.0,300.0,1.09,41.55,10.0,29.05,23247.59,1,59.61,66.06,9.77,PHARMACEUTICALS
33,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glenmarkpharma/GP08,GP08,pharmaceuticals,glenmarkpharma,370.38,200.0,0.34,35.95,1.0,29.05,16533.64,1,14.6,16.3,1.58,PHARMACEUTICALS
34,http://www.moneycontrol.com/india/stockpricequote/financehousing/gruhfinance/GRU,GRU,financehousing,gruhfinance,18.88,165.0,1.02,4.96,2.0,23.49,23592.6,1,64.51,65.03,17.08,FINANCE - HOUSING
35,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gujaratstatepetronet/GSP02,GSP02,oildrillingandexploration,gujaratstatepetronet,91.6,15.0,0.8,11.86,10.0,15.5,10557.78,1,12.52,15.79,2.04,OIL DRILLING AND EXPLORATION
36,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/hcltechnologies/HCL02,HCL02,computerssoftware,hcltechnologies,186.49,600.0,1.27,52.87,2.0,21.82,131914.73,1,15.98,17.92,5.08,COMPUTERS - SOFTWARE
37,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/housingdevelopmentinfrastructure/HDI,HDI,constructioncontractingrealestate,housingdevelopmentinfrastructure,263.04,0.0,,2.2,10.0,30.6,993.87,1,9.74,10.41,0.09,CONSTRUCTION & CONTRACTING - REAL ESTATE
38,http://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/hindustanzinc/HZ,HZ,metalsnonferrous,hindustanzinc,94.86,1470.0,9.66,21.67,2.0,13.77,128639.84,1,12.09,14.05,3.21,METALS - NON FERROUS
39,http://www.moneycontrol.com/india/stockpricequote/refineries/hindustanpetroleumcorporation/HPC,HPC,refineries,hindustanpetroleumcorporation,120.46,300.0,9.8,41.72,10.0,8.41,46659.45,1,5.12,7.34,2.54,REFINERIES
40,http://www.moneycontrol.com/india/stockpricequote/personalcare/hindustanunilever/HU,HU,personalcare,hindustanunilever,32.69,2000.0,1.23,24.19,1.0,66.23,350929.0,1,61.41,67.02,49.59,PERSONAL CARE
41,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/icicibank/ICI02,ICI02,banksprivatesector,icicibank,150.7,125.0,0.89,10.54,2.0,32.64,181540.06,1,26.78,26.78,1.87,BANKS - PRIVATE SECTOR
42,http://www.moneycontrol.com/india/stockpricequote/financegeneral/iiflholdings/II15,II15,financegeneral,iiflholdings,47.01,225.0,0.62,6.41,2.0,36.62,23067.86,1,112.62,112.8,15.38,FINANCE - GENERAL
43,http://www.moneycontrol.com/india/stockpricequote/financehousing/indiabullshousingfinance/IHF01,IHF01,financehousing,indiabullshousingfinance,361.84,1350.0,2.27,83.61,2.0,36.62,50822.14,1,14.14,14.25,3.29,FINANCE - HOUSING
44,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/indiabullsventures/IS13,IS13,financeinvestments,indiabullsventures,42.13,50.0,0.21,0.96,2.0,36.62,26468.08,1,492.58,507.97,11.57,FINANCE - INVESTMENTS
45,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/indianbank/IB04,IB04,bankspublicsector,indianbank,329.53,0.0,,26.21,10.0,12.43,16891.86,1,11.29,13.42,1.07,BANKS - PUBLIC SECTOR
46,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/jkumarinfraprojects/KI01,KI01,constructioncontractingcivil,jkumarinfraprojects,201.62,40.0,0.77,18.05,5.0,30.6,1969.95,1,9.41,14.42,1.29,CONSTRUCTION & CONTRACTING - CIVIL
47,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/jaiprakashassociates/JA02,JA02,infrastructuregeneral,jaiprakashassociates,32.52,0.0,,1.45,2.0,30.6,3514.9,1,4.09,9.97,0.44,INFRASTRUCTURE - GENERAL
48,http://www.moneycontrol.com/india/stockpricequote/packaging/jindalpolyfilms/JPF01,JPF01,packaging,jindalpolyfilms,422.11,10.0,0.43,3.32,10.0,24.28,1025.26,1,8.79,70.53,0.55,PACKAGING
49,http://www.moneycontrol.com/india/stockpricequote/tyres/jktyreindustries/JKT01,JKT01,tyres,jktyreindustries,75.7,125.0,1.95,1.9,2.0,27.04,2905.48,1,13.32,67.42,1.69,TYRES
50,http://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/johnsoncontrolshitachiairconditioningindia/HHL,HHL,consumergoodswhitegoods,johnsoncontrolshitachiairconditioningindia,198.28,15.0,0.06,36.83,10.0,20.53,7149.03,1,46.7,71.39,13.26,CONSUMER GOODS - WHITE GOODS
51,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/kansainerolacpaints/KNP,KNP,paintsvarnishes,kansainerolacpaints,57.99,260.0,0.52,9.58,1.0,57.09,27002.57,1,45.59,52.3,8.64,PAINTS & VARNISHES
52,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/karnatakabank/KB04,KB04,banksprivatesector,karnatakabank,181.91,40.0,3.38,11.52,10.0,32.64,3344.39,1,10.27,10.27,0.65,BANKS - PRIVATE SECTOR
53,http://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/kitexgarments/KG01,KG01,textilesreadymadeapparels,kitexgarments,68.52,150.0,0.9,10.53,1.0,46.7,1102.57,1,11.8,15.75,2.42,TEXTILES - READYMADE APPARELS
54,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/ltfinanceholdings/LFH,LFH,financeinvestments,ltfinanceholdings,38.17,8.0,0.48,1.84,10.0,36.62,32989.83,1,89.84,89.84,4.33,FINANCE - INVESTMENTS
55,http://www.moneycontrol.com/india/stockpricequote/financehousing/lichousingfinance/LIC,LIC,financehousing,lichousingfinance,258.92,310.0,1.25,39.42,2.0,23.49,25028.76,1,12.52,12.58,1.92,FINANCE - HOUSING
56,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/lupin/L,L,pharmaceuticals,lupin,326.92,375.0,0.82,29.74,2.0,29.05,41159.46,1,23.73,30.61,2.78,PHARMACEUTICALS
57,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/mahindramahindrafinancialservices/MMF04,MMF04,financeleasinghirepurchase,mahindramahindrafinancialservices,119.46,120.0,0.51,14.44,2.0,36.62,29331.48,1,31.34,32.88,3.97,FINANCE - LEASING & HIRE PURCHASE
58,http://www.moneycontrol.com/india/stockpricequote/castingsforgings/mahindracieautomotive/MF19,MF19,castingsforgings,mahindracieautomotive,92.45,0.0,,2.41,10.0,46.42,9694.61,1,58.07,106.27,2.77,CASTINGS & FORGINGS
59,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/manappuramfinance/MGF01,MGF01,financeleasinghirepurchase,manappuramfinance,47.61,100.0,1.93,8.31,2.0,36.62,8716.05,1,11.46,12.45,2.17,FINANCE - LEASING & HIRE PURCHASE
60,http://www.moneycontrol.com/india/stockpricequote/personalcare/marico/M13,M13,personalcare,marico,28.22,350.0,1.03,5.56,1.0,66.23,43657.03,1,55.63,60.83,11.98,PERSONAL CARE
61,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/marksanspharma/MP21,MP21,pharmaceuticals,marksanspharma,10.54,5.0,0.16,0.3,1.0,29.05,1266.83,1,51.58,103.17,2.94,PHARMACEUTICALS
62,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/maxfinancialservices/MI,MI,financeinvestments,maxfinancialservices,68.12,0.0,,4.58,2.0,36.62,12606.15,1,100.78,102.54,6.89,FINANCE - INVESTMENTS
63,http://www.moneycontrol.com/india/stockpricequote/trading/mmtc/MMT,MMT,trading,mmtc,9.56,30.0,0.8,0.33,1.0,49.47,5632.5,1,104.31,113.79,3.93,TRADING
64,http://www.moneycontrol.com/india/stockpricequote/miningminerals/moil/M18,M18,miningminerals,moil,105.32,110.0,5.96,15.84,10.0,15.1,4915.96,1,10.15,11.65,1.75,MINING & MINERALS
65,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/mothersonsumisystems/MSS01,MSS01,autoancillaries,mothersonsumisystems,11.9,200.0,0.65,4.18,1.0,73.54,64801.42,1,59.08,73.64,25.87,AUTO ANCILLARIES
66,http://www.moneycontrol.com/india/stockpricequote/financegeneral/motilaloswalfinancialservices/MOF01,MOF01,financegeneral,motilaloswalfinancialservices,55.07,250.0,0.29,8.94,1.0,36.62,12591.08,1,92.42,97.07,15.76,FINANCE - GENERAL
67,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/nestleindia/NI,NI,foodprocessing,nestleindia,354.77,860.0,0.88,139.24,10.0,64.74,93874.68,1,55.72,69.93,27.44,FOOD PROCESSING
68,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/nhpc/N07,N07,powergenerationdistribution,nhpc,28.95,18.0,6.96,2.69,10.0,11.73,26520.34,1,6.37,9.61,0.89,POWER - GENERATION & DISTRIBUTION
69,http://www.moneycontrol.com/india/stockpricequote/miningminerals/nmdc/NMD02,NMD02,miningminerals,nmdc,83.2,515.0,4.56,12.03,1.0,15.1,35751.96,1,8.8,9.39,1.36,MINING & MINERALS
70,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/ntpc/NTP,NTP,powergenerationdistribution,ntpc,129.25,47.8,3.06,12.54,10.0,11.73,128670.47,1,7.38,12.44,1.21,POWER - GENERATION & DISTRIBUTION
71,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/oberoirealty/OR,OR,constructioncontractingrealestate,oberoirealty,131.39,20.0,0.4,12.28,10.0,30.6,17192.36,1,37.64,41.23,3.85,CONSTRUCTION & CONTRACTING - REAL ESTATE
72,http://www.moneycontrol.com/india/stockpricequote/cementmajor/oclindia/OCL,OCL,cementmajor,oclindia,488.16,250.0,0.43,74.21,2.0,36.29,6679.52,1,11.32,15.82,2.4,CEMENT - MAJOR
73,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/oilindia/OI13,OI13,oildrillingandexploration,oilindia,255.93,95.0,4.29,23.51,10.0,11.73,25104.07,1,6.37,9.41,0.86,OIL DRILLING AND EXPLORATION
74,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/oilnaturalgascorporation/ONG,ONG,oildrillingandexploration,oilnaturalgascorporation,160.12,121.0,3.66,15.54,5.0,11.73,212325.88,1,6.17,10.65,1.03,OIL DRILLING AND EXPLORATION
75,http://www.moneycontrol.com/india/stockpricequote/personalcare/proctergamblehygienehealthcare/PGH,PGH,personalcare,proctergamblehygienehealthcare,162.08,3890.0,4.0,125.71,10.0,66.23,31595.01,1,67.54,77.43,60.05,PERSONAL CARE
76,http://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/pcjeweller/PJ,PJ,diamondcuttingjewellerypreciousmetals,pcjeweller,70.83,10.0,0.64,14.38,10.0,24.92,6208.93,1,10.56,10.95,2.22,DIAMOND CUTTING & JEWELLERY & PRECIOUS METALS
77,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/petronetlng/PLN,PLN,oildrillingandexploration,petronetlng,53.88,25.0,1.18,13.85,10.0,15.5,31770.0,1,12.76,15.29,3.93,OIL DRILLING AND EXPLORATION
78,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/powergridcorporationindia/PGC,PGC,powergenerationdistribution,powergridcorporationindia,110.95,10.0,0.5,15.75,10.0,14.41,103847.05,1,5.99,12.6,1.79,POWER - GENERATION & DISTRIBUTION
