,LINK,company_code,company_category,company_name,BOOK VALUE (Rs),DIV (%),DIV YIELD.(%),EPS (TTM),FACE VALUE (Rs),INDUSTRY P/E,MARKET CAP (Rs Cr),Market Lot,P/C,P/E,PRICE/BOOK,sector
21,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/crisil/CRI,CRI,miscellaneous,crisil,113.04,2800.00%,1.58%,33.16,1.00,51.31,"12,739.27",1,47.78,53.50,15.69,MISCELLANEOUS
22,http://www.moneycontrol.com/india/stockpricequote/personalcare/daburindia/DI,DI,personalcare,daburindia,26.78,225.00%,0.59%,6.07,1.00,66.23,"67,718.58",1,57.65,63.16,14.32,PERSONAL CARE
23,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/dbcorp/C13,C13,mediaentertainment,dbcorp,86.88,40.00%,1.51%,17.63,10.00,15.58,"4,865.32",1,11.68,14.99,3.04,MEDIA & ENTERTAINMENT
24,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/dlf/D04,D04,constructioncontractingrealestate,dlf,84.46,100.00%,1.00%,2.05,2.00,30.60,"35,637.10",1,71.59,97.44,2.37,CONSTRUCTION & CONTRACTING - REAL ESTATE
25,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/drreddyslaboratories/DRL,DRL,pharmaceuticals,drreddyslaboratories,698.95,400.00%,0.85%,34.16,5.00,29.05,"39,021.97",1,29.10,68.83,3.36,PHARMACEUTICALS
26,http://www.moneycontrol.com/india/stockpricequote/auto23wheelers/endurancetechnologies/ET01,ET01,auto23wheelers,endurancetechnologies,130.43,25.00%,0.20%,19.31,10.00,39.04,"17,876.14",1,40.51,65.81,9.74,AUTO - 2 & 3 WHEELERS
27,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/exideindustries/EI,EI,autoancillaries,exideindustries,66.26,240.00%,0.96%,7.86,1.00,30.46,"21,309.50",1,23.30,31.90,3.78,AUTO ANCILLARIES
28,http://www.moneycontrol.com/india/stockpricequote/retail/futurelifestylefashions/FLF01,FLF01,retail,futurelifestylefashions,93.56,40.00%,0.19%,5.80,2.00,74.38,"8,220.85",1,31.64,74.34,4.61,RETAIL
29,http://www.moneycontrol.com/india/stockpricequote/financehousing/gichousingfinance/GIC,GIC,financehousing,gichousingfinance,189.90,50.00%,1.30%,34.25,10.00,23.49,"2,072.19",1,11.20,11.24,2.03,FINANCE - HOUSING
30,http://www.moneycontrol.com/india/stockpricequote/personalcare/gilletteindia/GI22,GI22,personalcare,gilletteindia,153.63,1640.00%,2.51%,71.23,10.00,66.23,"21,283.03",1,78.69,91.70,42.51,PERSONAL CARE
31,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/glaxosmithklineconsumerhealthcare/GSC04,GSC04,foodprocessing,glaxosmithklineconsumerhealthcare,908.98,700.00%,1.13%,166.47,10.00,64.74,"25,968.45",1,33.97,37.09,6.79,FOOD PROCESSING
32,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glaxosmithklinepharmaceuticals/GSK,GSK,pharmaceuticals,glaxosmithklinepharmaceuticals,281.00,300.00%,1.09%,41.55,10.00,29.05,"23,247.59",1,59.61,66.06,9.77,PHARMACEUTICALS
33,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glenmarkpharma/GP08,GP08,pharmaceuticals,glenmarkpharma,370.38,200.00%,0.34%,35.95,1.00,29.05,"16,533.64",1,14.60,16.30,1.58,PHARMACEUTICALS
34,http://www.moneycontrol.com/india/stockpricequote/financehousing/gruhfinance/GRU,GRU,financehousing,gruhfinance,18.88,165.00%,1.02%,4.96,2.00,23.49,"23,592.60",1,64.51,65.03,17.08,FINANCE - HOUSING
35,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gujaratstatepetronet/GSP02,GSP02,oildrillingandexploration,gujaratstatepetronet,91.60,15.00%,0.80%,11.86,10.00,15.50,"10,557.78",1,12.52,15.79,2.04,OIL DRILLING AND EXPLORATION
36,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/hcltechnologies/HCL02,HCL02,computerssoftware,hcltechnologies,186.49,600.00%,1.27%,52.87,2.00,21.82,"131,914.73",1,15.98,17.92,5.08,COMPUTERS - SOFTWARE
37,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/housingdevelopmentinfrastructure/HDI,HDI,constructioncontractingrealestate,housingdevelopmentinfrastructure,263.04,0.00%,-%,2.20,10.00,30.60,993.87,1,9.74,10.41,0.09,CONSTRUCTION & CONTRACTING - REAL ESTATE
38,http://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/hindustanzinc/HZ,HZ,metalsnonferrous,hindustanzinc,94.86,1470.00%,9.66%,21.67,2.00,13.77,"128,639.84",1,12.09,14.05,3.21,METALS - NON FERROUS
39,http://www.moneycontrol.com/india/stockpricequote/refineries/hindustanpetroleumcorporation/HPC,HPC,refineries,hindustanpetroleumcorporation,120.46,300.00%,9.80%,41.72,10.00,8.41,"46,659.45",1,5.12,7.34,2.54,REFINERIES
40,http://www.moneycontrol.com/india/stockpricequote/personalcare/hindustanunilever/HU,HU,personalcare,hindustanunilever,32.69,2000.00%,1.23%,24.19,1.00,66.23,"350,929.00",1,61.41,67.02,49.59,PERSONAL CARE
41,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/icicibank/ICI02,ICI02,banksprivatesector,icicibank,150.70,125.00%,0.89%,10.54,2.00,32.64,"181,540.06",1,26.78,26.78,1.87,BANKS - PRIVATE SECTOR
42,http://www.moneycontrol.com/india/stockpricequote/financegeneral/iiflholdings/II15,II15,financegeneral,iiflholdings,47.01,225.00%,0.62%,6.41,2.00,36.62,"23,067.86",1,112.62,112.80,15.38,FINANCE - GENERAL
43,http://www.moneycontrol.com/india/stockpricequote/financehousing/indiabullshousingfinance/IHF01,IHF01,financehousing,indiabullshousingfinance,361.84,1350.00%,2.27%,83.61,2.00,36.62,"50,822.14",1,14.14,14.25,3.29,FINANCE - HOUSING
44,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/indiabullsventures/IS13,IS13,financeinvestments,indiabullsventures,42.13,50.00%,0.21%,0.96,2.00,36.62,"26,468.08",1,492.58,507.97,11.57,FINANCE - INVESTMENTS
45,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/indianbank/IB04,IB04,bankspublicsector,indianbank,329.53,0.00%,-%,26.21,10.00,12.43,"16,891.86",1,11.29,13.42,1.07,BANKS - PUBLIC SECTOR
46,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/jkumarinfraprojects/KI01,KI01,constructioncontractingcivil,jkumarinfraprojects,201.62,40.00%,0.77%,18.05,5.00,30.60,"1,969.95",1,9.41,14.42,1.29,CONSTRUCTION & CONTRACTING - CIVIL
47,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/jaiprakashassociates/JA02,JA02,infrastructuregeneral,jaiprakashassociates,32.52,0.00%,-%,1.45,2.00,30.60,"3,514.90",1,4.09,9.97,0.44,INFRASTRUCTURE - GENERAL
48,http://www.moneycontrol.com/india/stockpricequote/packaging/jindalpolyfilms/JPF01,JPF01,packaging,jindalpolyfilms,422.11,10.00%,0.43%,3.32,10.00,24.28,"1,025.26",1,8.79,70.53,0.55,PACKAGING
49,http://www.moneycontrol.com/india/stockpricequote/tyres/jktyreindustries/JKT01,JKT01,tyres,jktyreindustries,75.70,125.00%,1.95%,1.90,2.00,27.04,"2,905.48",1,13.32,67.42,1.69,TYRES
50,http://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/johnsoncontrolshitachiairconditioningindia/HHL,HHL,consumergoodswhitegoods,johnsoncontrolshitachiairconditioningindia,198.28,15.00%,0.06%,36.83,10.00,20.53,"7,149.03",1,46.70,71.39,13.26,CONSUMER GOODS - WHITE GOODS
51,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/kansainerolacpaints/KNP,KNP,paintsvarnishes,kansainerolacpaints,57.99,260.00%,0.52%,9.58,1.00,57.09,"27,002.57",1,45.59,52.30,8.64,PAINTS & VARNISHES
52,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/karnatakabank/KB04,KB04,banksprivatesector,karnatakabank,181.91,40.00%,3.38%,11.52,10.00,32.64,"3,344.39",1,10.27,10.27,0.65,BANKS - PRIVATE SECTOR
53,http://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/kitexgarments/KG01,KG01,textilesreadymadeapparels,kitexgarments,68.52,150.00%,0.90%,10.53,1.00,46.70,"1,102.57",1,11.80,15.75,2.42,TEXTILES - READYMADE APPARELS
54,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/ltfinanceholdings/LFH,LFH,financeinvestments,ltfinanceholdings,38.17,8.00%,0.48%,1.84,10.00,36.62,"32,989.83",1,89.84,89.84,4.33,FINANCE - INVESTMENTS
55,http://www.moneycontrol.com/india/stockpricequote/financehousing/lichousingfinance/LIC,LIC,financehousing,lichousingfinance,258.92,310.00%,1.25%,39.42,2.00,23.49,"25,028.76",1,12.52,12.58,1.92,FINANCE - HOUSING
56,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/lupin/L,L,pharmaceuticals,lupin,326.92,375.00%,0.82%,29.74,2.00,29.05,"41,159.46",1,23.73,30.61,2.78,PHARMACEUTICALS
